,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,is_renewal_needed,built_year,has_lift,is_exterior,district
0,64.0,2,1.0,three,85000,False,1960.0,False,True,Villaverde 21
1,70.0,3,1.0,four,129900,True,1971.0,True,True,Villaverde 21
2,94.0,2,2.0,one,144247,False,1971.0,True,True,Villaverde 21
3,64.0,2,1.0,zero,109900,False,1955.0,True,True,Villaverde 21
4,108.0,2,2.0,four,260000,False,2003.0,True,True,Villaverde 21
5,126.0,4,2.0,three,195000,False,1981.0,False,True,Villaverde 21
6,120.0,5,2.0,one,190000,False,1971.0,False,True,Villaverde 21
7,125.0,3,2.0,two,198500,False,1971.0,False,True,Villaverde 21
9,85.0,2,1.0,seven,131400,True,1950.0,False,True,Villaverde 21
10,69.0,2,2.0,two,118000,True,1963.0,False,True,Villaverde 21
12,123.0,3,2.0,four,195000,False,1992.0,True,True,Villaverde 21
13,109.0,3,2.0,three,205000,False,1983.0,True,True,Villaverde 21
14,64.0,3,1.0,three,72000,False,1960.0,False,True,Villaverde 21
16,115.0,3,1.0,one,184900,False,1971.0,False,True,Villaverde 21
17,65.0,3,1.0,four,90000,False,1971.0,False,True,Villaverde 21
18,75.0,3,1.0,three,129900,True,1971.0,True,True,Villaverde 21
19,60.0,2,1.0,zero,94900,False,1971.0,False,True,Villaverde 21
20,60.0,2,1.0,two,89900,False,1971.0,False,True,Villaverde 21
21,95.0,4,2.0,four,144900,False,1971.0,False,True,Villaverde 21
22,76.0,3,1.0,two,110000,True,1971.0,False,True,Villaverde 21
26,75.0,3,1.0,three,138000,False,1984.0,False,True,Villaverde 21
27,112.0,4,2.0,two,280000,False,1971.0,True,True,Villaverde 21
28,65.0,3,1.0,one,150000,True,1976.0,True,True,Villaverde 21
29,70.0,2,1.0,three,145900,False,1968.0,False,True,Villaverde 21
30,75.0,1,1.0,one,92500,False,2008.0,True,True,Villaverde 21
31,123.0,3,2.0,seven,298000,False,2002.0,True,True,Villaverde 21
33,72.0,2,1.0,three,138000,False,1971.0,False,True,Villaverde 21
34,61.0,3,1.0,five,100000,False,1966.0,False,True,Villaverde 21
35,71.0,3,1.0,one,131400,True,1980.0,False,True,Villaverde 21
36,87.0,3,1.0,two,96000,True,1971.0,False,True,Villaverde 21
38,78.0,4,1.0,two,146700,False,1971.0,True,True,Villaverde 21
40,125.0,3,3.0,seven,275000,False,2004.0,True,True,Villaverde 21
41,75.0,0,1.0,one,83800,False,2008.0,True,True,Villaverde 21
42,97.0,2,2.0,zero,266122,False,1971.0,True,True,Villaverde 21
43,93.0,2,2.0,seven,228273,False,1971.0,True,True,Villaverde 21
44,103.0,4,2.0,one,171900,False,1971.0,True,True,Villaverde 21
45,83.0,2,2.0,seven,228273,False,2020.0,True,True,Villaverde 21
46,45.0,2,1.0,one,85000,True,1968.0,False,True,Villaverde 21
48,74.0,3,1.0,one,139000,False,1971.0,False,True,Villaverde 21
49,125.0,3,2.0,seven,272500,False,2004.0,True,True,Villaverde 21
50,126.0,4,2.0,zero,275000,False,1971.0,True,True,Villaverde 21
51,158.0,3,2.0,four,289000,False,2003.0,True,True,Villaverde 21
53,108.0,3,2.0,four,179000,False,1978.0,True,True,Villaverde 21
54,62.0,2,1.0,zero,123000,False,1984.0,True,True,Villaverde 21
55,51.0,2,1.0,three,89500,True,1967.0,False,True,Villaverde 21
56,112.0,3,2.0,three,289000,False,2013.0,True,True,Villaverde 21
57,109.0,3,2.0,two,216278,False,1971.0,True,True,Villaverde 21
58,107.0,3,2.0,one,207503,False,1971.0,True,True,Villaverde 21
59,76.0,2,2.0,three,162793,False,1971.0,True,True,Villaverde 21
60,105.0,3,2.0,one,204999,False,1971.0,True,True,Villaverde 21
61,109.0,3,2.0,four,220879,False,1971.0,True,True,Villaverde 21
62,108.0,3,2.0,four,218258,False,1971.0,True,True,Villaverde 21
63,109.0,3,2.0,zero,231855,False,1971.0,True,True,Villaverde 21
64,76.0,2,2.0,four,163397,False,1971.0,True,True,Villaverde 21
65,76.0,2,2.0,two,160759,False,1971.0,True,True,Villaverde 21
66,108.0,3,2.0,three,217169,False,1971.0,True,True,Villaverde 21
67,76.0,2,2.0,five,165208,False,1971.0,True,True,Villaverde 21
68,109.0,3,2.0,three,219775,False,1971.0,True,True,Villaverde 21
69,108.0,3,2.0,zero,230817,False,1971.0,True,True,Villaverde 21
70,108.0,3,2.0,two,213722,False,1971.0,True,True,Villaverde 21
71,111.0,2,2.0,six,230749,False,1971.0,True,True,Villaverde 21
72,115.0,3,2.0,two,233789,False,1971.0,True,True,Villaverde 21
73,115.0,3,2.0,one,230789,False,1971.0,True,True,Villaverde 21
74,117.0,3,2.0,one,244171,False,1971.0,True,True,Villaverde 21
75,117.0,3,2.0,one,243468,False,1971.0,True,True,Villaverde 21
76,117.0,3,2.0,one,244798,False,1971.0,True,True,Villaverde 21
77,118.0,3,2.0,one,219235,False,1971.0,True,True,Villaverde 21
78,115.0,3,2.0,five,242789,False,1971.0,True,True,Villaverde 21
80,106.0,3,2.0,three,251569,False,1971.0,True,True,Villaverde 21
81,103.0,3,2.0,three,235402,False,1971.0,True,True,Villaverde 21
82,103.0,3,2.0,one,235172,False,1971.0,True,True,Villaverde 21
83,103.0,3,2.0,five,236227,False,1971.0,True,True,Villaverde 21
84,114.0,3,2.0,two,254710,False,1971.0,True,True,Villaverde 21
86,140.0,3,3.0,seven,272500,False,2004.0,True,True,Villaverde 21
87,58.0,3,1.0,two,85000,False,1951.0,False,True,Villaverde 21
88,65.0,3,1.0,one,94000,False,1971.0,False,True,Villaverde 21
89,110.0,4,2.0,one,175000,False,1978.0,False,True,Villaverde 21
90,173.0,4,2.0,two,268000,False,2003.0,True,True,Villaverde 21
91,75.0,2,1.0,three,156000,False,1971.0,True,True,Villaverde 21
92,90.0,1,1.0,seven,183159,False,1971.0,True,True,Villaverde 21
93,125.0,3,2.0,one,210000,False,1996.0,True,True,Villaverde 21
94,58.0,2,1.0,zero,85000,False,1968.0,False,True,Villaverde 21
95,92.0,3,1.0,six,159900,False,1962.0,True,True,Villaverde 21
96,70.0,2,1.0,three,117000,False,1975.0,False,True,Villaverde 21
97,54.0,2,1.0,two,110000,False,1960.0,False,True,Villaverde 21
98,52.0,2,1.0,one,100000,False,1971.0,False,True,Villaverde 21
99,108.0,3,1.0,two,140000,False,1995.0,False,True,Villaverde 21
100,65.0,2,1.0,three,106500,False,1963.0,False,True,Villaverde 21
101,102.0,3,2.0,three,127500,False,1964.0,False,True,Villaverde 21
102,80.0,2,1.0,three,148000,False,1999.0,True,True,Villaverde 21
103,108.0,2,1.0,four,205000,False,2002.0,True,True,Villaverde 21
104,80.0,3,2.0,four,220000,False,2000.0,True,True,Villaverde 21
105,16.0,3,1.0,one,114000,False,1970.0,False,True,Villaverde 21
106,54.0,2,1.0,three,89900,False,1964.0,False,True,Villaverde 21
107,70.0,2,2.0,four,210000,False,2003.0,True,True,Villaverde 21
108,99.0,2,2.0,mezzanine,145000,False,2007.0,True,True,Villaverde 21
109,123.0,4,2.0,three,275000,False,1971.0,True,True,Villaverde 21
110,64.0,3,1.0,five,104000,False,1971.0,False,True,Villaverde 21
111,107.0,3,2.0,six,228629,False,1971.0,True,True,Villaverde 21
112,76.0,2,2.0,six,169021,False,1971.0,True,True,Villaverde 21
113,109.0,3,2.0,five,223022,False,1971.0,True,True,Villaverde 21
114,108.0,3,2.0,five,220072,False,1971.0,True,True,Villaverde 21
115,103.0,3,2.0,six,235718,False,1971.0,True,True,Villaverde 21
116,103.0,3,2.0,one,245000,False,1971.0,True,True,Villaverde 21
117,143.0,3,2.0,zero,260000,False,1971.0,True,True,Villaverde 21
118,99.0,3,2.0,six,235000,False,1971.0,True,True,Villaverde 21
119,100.0,3,2.0,three,235000,False,1971.0,True,True,Villaverde 21
120,176.0,2,2.0,six,265000,False,1971.0,True,True,Villaverde 21
121,87.0,2,2.0,two,190000,False,1971.0,True,True,Villaverde 21
122,106.0,3,2.0,four,256115,False,1971.0,True,True,Villaverde 21
123,113.0,3,2.0,zero,261989,False,1971.0,True,True,Villaverde 21
124,115.0,3,2.0,one,273353,False,1971.0,True,True,Villaverde 21
125,129.0,3,2.0,seven,297621,False,1971.0,True,True,Villaverde 21
126,115.0,3,2.0,six,279778,False,1971.0,True,True,Villaverde 21
127,110.0,2,2.0,zero,135000,True,1971.0,False,True,Villaverde 21
128,90.0,3,2.0,two,195000,False,1985.0,True,True,Villaverde 21
129,60.0,2,1.0,one,126900,True,1971.0,False,True,Villaverde 21
131,80.0,3,1.0,zero,145000,False,1971.0,False,True,Villaverde 21
