price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,parking_spaces,education_centers,sports_centers,social_wellness_index,urban_mobility_index,education_index,employment_index,health_index
495000,planta 1,exterior,3,118.0,1,1,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
485000,planta 2,exterior,2,82.0,1,1,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
315000,planta 2,exterior,2,72.0,0,0,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
585000,planta 4,exterior,2,174.0,1,1,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
255000,bajo,exterior,3,75.0,0,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
299000,planta 1,exterior,1,69.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
265000,planta 3,exterior,2,54.0,1,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
290000,planta 3,interior,4,69.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
660220,planta 2,exterior,3,129.0,1,1,Imperial,arganzuela,1026.0,6.0,1.0,5.81,5.36,6.37,5.14,5.73
525000,planta 4,exterior,4,111.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
429900,bajo,interior,3,139.0,0,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
385000,planta 6,exterior,4,100.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
299000,planta 2,exterior,3,85.0,1,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
430000,planta 3,exterior,2,92.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
350000,planta 2,exterior,2,91.0,1,0,Imperial,arganzuela,1026.0,6.0,1.0,5.81,5.36,6.37,5.14,5.73
479000,planta 1,exterior,4,121.0,1,0,Imperial,arganzuela,1026.0,6.0,1.0,5.81,5.36,6.37,5.14,5.73
420000,planta 4,exterior,2,105.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
239000,planta 3,interior,2,54.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
585000,planta 4,exterior,2,110.0,1,1,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
410000,planta 5,exterior,3,79.0,1,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
293000,planta 2,exterior,2,77.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
190000,planta 3,exterior,2,48.0,0,0,Imperial,arganzuela,1026.0,6.0,1.0,5.81,5.36,6.37,5.14,5.73
299000,planta 5,interior,2,60.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
360000,planta 5,exterior,1,62.0,1,1,Imperial,arganzuela,1026.0,6.0,1.0,5.81,5.36,6.37,5.14,5.73
