price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,sports_centers,social_wellness_index,urban_mobility_index,education_index,employment_index,health_index,kmean_cluster
123000,bajo,exterior,2,50.0,0,0,Aeropuerto,barajas,0.0,9.02,3.06,6.74,8.31,15.91,0
98000,bajo,exterior,2,74.0,0,0,Aeropuerto,barajas,0.0,9.02,3.06,6.74,8.31,15.91,0
160000,bajo,exterior,3,70.0,1,0,Aeropuerto,barajas,0.0,9.02,3.06,6.74,8.31,15.91,0
139900,entreplanta,exterior,3,54.0,0,0,Aeropuerto,barajas,0.0,9.02,3.06,6.74,8.31,15.91,0
118500,planta 2,exterior,3,74.0,0,0,Aeropuerto,barajas,0.0,9.02,3.06,6.74,8.31,15.91,0
108000,planta 2,exterior,3,60.0,1,0,Aeropuerto,barajas,0.0,9.02,3.06,6.74,8.31,15.91,0
123000,bajo,exterior,2,52.0,0,0,Aeropuerto,barajas,0.0,9.02,3.06,6.74,8.31,15.91,0
850000,planta 7,exterior,3,172.0,1,1,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
180000,planta 3,exterior,3,61.0,1,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
185000,planta 1,exterior,2,99.0,0,0,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
395000,planta 4,exterior,4,124.0,1,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
170000,entreplanta,exterior,3,90.0,1,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
145000,planta 1,exterior,1,40.0,1,0,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
276000,planta 2,interior,3,77.0,1,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
241900,planta 7,exterior,3,94.0,1,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
168000,planta 1,exterior,3,86.0,0,0,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
139900,planta 3,exterior,3,76.0,0,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
285000,planta 4,exterior,2,85.0,1,1,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
169000,planta 2,exterior,2,67.0,1,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
220000,planta 2,exterior,4,113.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
186000,planta 3,exterior,3,87.0,0,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
195900,planta 4,interior,3,75.0,1,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
109900,bajo,exterior,2,54.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
134900,planta 2,exterior,1,32.0,0,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
134000,planta 1,exterior,1,40.0,1,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
170000,planta 4,exterior,3,93.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
285000,planta 2,exterior,2,114.0,1,1,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
168000,planta 1,exterior,2,75.0,0,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
390000,planta 3,exterior,3,148.0,0,1,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
270000,planta 3,exterior,2,68.0,1,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
161000,bajo,exterior,2,75.0,0,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
275000,planta 2,exterior,2,80.0,1,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
239000,planta 1,interior,3,71.0,1,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
140000,planta 3,exterior,3,74.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
122000,planta 2,exterior,1,51.0,0,0,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
175000,planta 4,exterior,2,61.0,0,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
230000,planta 1,exterior,3,87.0,1,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
173500,planta 1,exterior,3,85.0,0,0,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
169500,planta 4,interior,2,72.0,1,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
199500,planta 4,exterior,3,93.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
178000,planta 2,exterior,2,69.0,0,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
305000,planta 3,exterior,3,105.0,1,1,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
152000,planta 1,exterior,2,64.0,0,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
78000,bajo,interior,1,38.0,0,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
165000,planta 2,exterior,3,69.0,0,0,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
131000,planta 1,exterior,2,72.0,0,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
160000,planta 2,exterior,2,80.0,0,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
360000,planta 3,exterior,4,144.0,1,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
160000,planta 10,exterior,3,77.0,1,0,Abrantes,carabanchel,0.0,8.58,5.73,13.05,10.92,6.22,0
250000,planta 1,exterior,2,106.0,1,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
218000,planta 2,exterior,3,80.0,1,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
415000,planta 6,exterior,2,98.0,1,1,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
167000,planta 2,exterior,3,70.0,0,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
299000,planta 3,exterior,1,62.0,1,1,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
