price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,parking_spaces,urban_mobility_index,education_index,employment_index
139000,bajo,interior,1,32.0,0,0,Delicias,arganzuela,512.0,7.14,6.22,5.81
350000,planta 5,exterior,1,63.0,0,0,Delicias,arganzuela,512.0,7.14,6.22,5.81
135000,bajo,interior,1,32.0,0,0,Delicias,arganzuela,512.0,7.14,6.22,5.81
175000,bajo,interior,1,45.0,0,0,Delicias,arganzuela,512.0,7.14,6.22,5.81
72000,planta 2,exterior,2,36.0,0,0,Delicias,arganzuela,512.0,7.14,6.22,5.81
275000,bajo,exterior,1,47.0,0,0,Legazpi,arganzuela,0.0,4.52,5.81,4.57
124000,planta 4,interior,1,36.0,0,0,Delicias,arganzuela,512.0,7.14,6.22,5.81
249000,bajo,exterior,1,59.0,0,0,Delicias,arganzuela,512.0,7.14,6.22,5.81
160000,planta 3,interior,1,37.0,0,0,Delicias,arganzuela,512.0,7.14,6.22,5.81
144800,bajo,interior,2,40.0,0,0,Delicias,arganzuela,512.0,7.14,6.22,5.81
124300,bajo,exterior,1,40.0,0,0,Legazpi,arganzuela,0.0,4.52,5.81,4.57
144800,bajo,exterior,2,40.0,0,0,Delicias,arganzuela,512.0,7.14,6.22,5.81
185000,planta 1,interior,1,41.0,0,0,Delicias,arganzuela,512.0,7.14,6.22,5.81
178000,bajo,exterior,2,44.0,0,0,Delicias,arganzuela,512.0,7.14,6.22,5.81
170000,bajo,interior,2,40.0,0,0,Delicias,arganzuela,512.0,7.14,6.22,5.81
123000,bajo,exterior,2,50.0,0,0,Aeropuerto,barajas,0.0,3.06,6.74,8.31
98000,bajo,exterior,2,74.0,0,0,Aeropuerto,barajas,0.0,3.06,6.74,8.31
160000,bajo,exterior,3,70.0,1,0,Aeropuerto,barajas,0.0,3.06,6.74,8.31
139900,entreplanta,exterior,3,54.0,0,0,Aeropuerto,barajas,0.0,3.06,6.74,8.31
118500,planta 2,exterior,3,74.0,0,0,Aeropuerto,barajas,0.0,3.06,6.74,8.31
108000,planta 2,exterior,3,60.0,1,0,Aeropuerto,barajas,0.0,3.06,6.74,8.31
123000,bajo,exterior,2,52.0,0,0,Aeropuerto,barajas,0.0,3.06,6.74,8.31
850000,planta 7,exterior,3,172.0,1,1,San Isidro,carabanchel,199.0,6.64,11.27,10.92
180000,planta 3,exterior,3,61.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
185000,planta 1,exterior,2,99.0,0,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
395000,planta 4,exterior,4,124.0,1,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
170000,entreplanta,exterior,3,90.0,1,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
145000,planta 1,exterior,1,40.0,1,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
276000,planta 2,interior,3,77.0,1,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
241900,planta 7,exterior,3,94.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
168000,planta 1,exterior,3,86.0,0,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
139900,planta 3,exterior,3,76.0,0,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
285000,planta 4,exterior,2,85.0,1,1,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
169000,planta 2,exterior,2,67.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
220000,planta 2,exterior,4,113.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
186000,planta 3,exterior,3,87.0,0,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
499000,planta 2,exterior,5,176.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
195900,planta 4,interior,3,75.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
109900,bajo,exterior,2,54.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
134900,planta 2,exterior,1,32.0,0,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
134000,planta 1,exterior,1,40.0,1,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
170000,planta 4,exterior,3,93.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
285000,planta 2,exterior,2,114.0,1,1,San Isidro,carabanchel,199.0,6.64,11.27,10.92
168000,planta 1,exterior,2,75.0,0,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
520000,planta 2,exterior,4,250.0,0,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
390000,planta 3,exterior,3,148.0,0,1,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
270000,planta 3,exterior,2,68.0,1,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
161000,bajo,exterior,2,75.0,0,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
275000,planta 2,exterior,2,80.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
239000,planta 1,interior,3,71.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
140000,planta 3,exterior,3,74.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
122000,planta 2,exterior,1,51.0,0,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
175000,planta 4,exterior,2,61.0,0,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
230000,planta 1,exterior,3,87.0,1,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
173500,planta 1,exterior,3,85.0,0,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
169500,planta 4,interior,2,72.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
199500,planta 4,exterior,3,93.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
178000,planta 2,exterior,2,69.0,0,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
305000,planta 3,exterior,3,105.0,1,1,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
152000,planta 1,exterior,2,64.0,0,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
78000,bajo,interior,1,38.0,0,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
165000,planta 2,exterior,3,69.0,0,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
131000,planta 1,exterior,2,72.0,0,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
160000,planta 2,exterior,2,80.0,0,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
499000,planta 2,exterior,5,176.0,1,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
360000,planta 3,exterior,4,144.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
160000,planta 10,exterior,3,77.0,1,0,Abrantes,carabanchel,740.0,5.73,13.05,10.92
250000,planta 1,exterior,2,106.0,1,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
218000,planta 2,exterior,3,80.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
415000,planta 6,exterior,2,98.0,1,1,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
167000,planta 2,exterior,3,70.0,0,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
299000,planta 3,exterior,1,62.0,1,1,San Isidro,carabanchel,199.0,6.64,11.27,10.92
350000,planta 8,interior,3,92.0,1,0,Abrantes,carabanchel,740.0,5.73,13.05,10.92
129000,planta 1,exterior,3,70.0,0,0,Buenavista,carabanchel,0.0,8.35,10.42,10.92
350000,planta 5,exterior,3,88.0,1,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
159500,planta 3,exterior,2,76.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
159000,planta 2,exterior,3,77.0,0,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
169500,planta 4,exterior,4,80.0,0,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
365000,planta 4,exterior,4,106.0,1,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
239900,planta 1,exterior,2,85.0,1,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
235000,planta 1,exterior,3,97.0,0,0,Buenavista,carabanchel,0.0,8.35,10.42,10.92
385000,planta 1,exterior,3,110.0,1,1,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
218000,planta 1,exterior,3,119.0,1,1,San Isidro,carabanchel,199.0,6.64,11.27,10.92
189000,planta 3,exterior,4,80.0,0,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
169500,planta 1,exterior,3,77.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
260000,planta 8,exterior,2,82.0,1,0,Abrantes,carabanchel,740.0,5.73,13.05,10.92
350000,planta 5,exterior,3,101.0,1,1,Abrantes,carabanchel,740.0,5.73,13.05,10.92
234000,planta 2,exterior,4,149.0,1,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
