price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district
299000,planta 1,exterior,1,69.0,1,0,Chopera,arganzuela
265000,planta 3,exterior,2,54.0,1,0,Delicias,arganzuela
290000,planta 3,interior,4,69.0,1,0,Chopera,arganzuela
525000,planta 4,exterior,4,111.0,1,0,Chopera,arganzuela
385000,planta 6,exterior,4,100.0,1,0,Chopera,arganzuela
299000,planta 2,exterior,3,85.0,1,0,Delicias,arganzuela
430000,planta 3,exterior,2,92.0,1,0,Palos de Moguer,arganzuela
350000,planta 2,exterior,2,91.0,1,0,Imperial,arganzuela
479000,planta 1,exterior,4,121.0,1,0,Imperial,arganzuela
420000,planta 4,exterior,2,105.0,1,0,Palos de Moguer,arganzuela
239000,planta 3,interior,2,54.0,1,0,Palos de Moguer,arganzuela
410000,planta 5,exterior,3,79.0,1,0,Acacias,arganzuela
293000,planta 2,exterior,2,77.0,1,0,Palos de Moguer,arganzuela
299000,planta 5,interior,2,60.0,1,0,Palos de Moguer,arganzuela
235000,planta 2,interior,1,59.0,1,0,Palos de Moguer,arganzuela
315000,planta 2,exterior,3,72.0,1,0,Delicias,arganzuela
530000,planta 6,exterior,2,133.0,1,0,Palos de Moguer,arganzuela
310000,planta 2,exterior,3,72.0,1,0,Delicias,arganzuela
729000,planta 3,exterior,5,175.0,1,0,Imperial,arganzuela
460000,planta 4,exterior,4,125.0,1,0,Delicias,arganzuela
550000,planta 2,interior,3,130.0,1,0,Imperial,arganzuela
293000,planta 2,interior,3,74.0,1,0,Palos de Moguer,arganzuela
282900,planta 2,exterior,2,47.0,1,0,Acacias,arganzuela
235000,planta 3,interior,1,36.0,1,0,Delicias,arganzuela
385000,planta 4,interior,2,98.0,1,0,Legazpi,arganzuela
390000,planta 1,exterior,3,95.0,1,0,Chopera,arganzuela
780000,planta 8,exterior,4,160.0,1,0,Imperial,arganzuela
370000,planta 1,exterior,3,103.0,1,0,Palos de Moguer,arganzuela
375000,planta 1,interior,3,99.0,1,0,Palos de Moguer,arganzuela
275000,bajo,exterior,2,94.0,1,0,Imperial,arganzuela
