sq_mt_built,n_rooms,n_bathrooms,is_exact_address_hidden,floor,is_floor_under,rent_price,buy_price_by_area,is_renewal_needed,is_new_development,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,energy_certificate,has_parking,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,built_year,neighbourhood,district,house_type
64.0,2,1.0,0,three,0.0,471,1328,0,0.0,,,1,0,0.0,1.0,D,0,0.0,1.0,0.0,0.0,1960.0,San Cristóbal 135,Villaverde 21,Apartment
70.0,3,1.0,1,four,0.0,666,1856,1,0.0,,,0,1,1.0,1.0,in process,0,,,,,,Los Ángeles 132,Villaverde 21,Apartment
94.0,2,2.0,0,one,0.0,722,1535,0,0.0,0.0,1.0,0,1,1.0,1.0,not indicated,0,,,,,,San Andrés 134,Villaverde 21,Apartment
64.0,2,1.0,1,zero,1.0,583,1717,0,0.0,,,0,0,1.0,1.0,in process,0,0.0,0.0,1.0,0.0,1955.0,San Andrés 134,Villaverde 21,Apartment
108.0,2,2.0,1,four,0.0,1094,2407,0,0.0,,,1,1,1.0,1.0,in process,1,1.0,1.0,1.0,1.0,2003.0,Los Rosales 133,Villaverde 21,Apartment
126.0,4,2.0,1,three,0.0,901,1548,0,0.0,0.0,1.0,0,0,0.0,1.0,in process,1,0.0,0.0,0.0,1.0,1981.0,San Andrés 134,Villaverde 21,Apartment
120.0,5,2.0,1,one,0.0,884,1583,0,0.0,0.0,1.0,1,1,0.0,1.0,F,1,0.0,0.0,1.0,0.0,,San Andrés 134,Villaverde 21,Apartment
125.0,3,2.0,1,two,0.0,912,1588,0,0.0,,,1,1,0.0,1.0,not indicated,0,0.0,0.0,1.0,0.0,,San Andrés 134,Villaverde 21,Apartment
84.0,3,2.0,1,,,954,2524,0,0.0,,,1,1,1.0,1.0,F,1,,,,,,Butarque 131,Villaverde 21,Apartment
85.0,2,1.0,1,seven,0.0,672,1546,1,0.0,0.0,1.0,0,0,0.0,1.0,in process,0,0.0,1.0,0.0,0.0,1950.0,Los Rosales 133,Villaverde 21,Apartment
69.0,2,2.0,1,two,0.0,617,1710,1,0.0,,,0,0,0.0,1.0,in process,0,,,,,1963.0,San Andrés 134,Villaverde 21,Apartment
122.0,3,2.0,1,six,0.0,1058,2024,0,0.0,,,1,1,1.0,,E,1,,,,,,Butarque 131,Villaverde 21,Apartment
123.0,3,2.0,0,four,0.0,901,1585,0,0.0,,,1,1,1.0,1.0,D,0,0.0,0.0,0.0,1.0,1992.0,Los Rosales 133,Villaverde 21,Apartment
109.0,3,2.0,0,three,0.0,933,1881,0,0.0,,,0,1,1.0,1.0,E,0,0.0,0.0,1.0,0.0,1983.0,Los Ángeles 132,Villaverde 21,Apartment
64.0,3,1.0,1,three,0.0,408,1125,0,0.0,0.0,1.0,0,0,0.0,1.0,F,0,,,,,1960.0,San Cristóbal 135,Villaverde 21,Apartment
