sq_mt_built,n_rooms,n_bathrooms,is_exact_address_hidden,floor,is_floor_under,rent_price,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,energy_certificate,has_parking,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,neighborhood,District,HouseType
64.0,2,1.0,False,3,False,471,85000,1328,False,False,1960.0,Unknown,Unknown,True,False,False,True,D,False,False,True,False,False,San Cristóbal 135,Villaverde 21,Apartment
70.0,3,1.0,True,4,False,666,129900,1856,True,False,Unknown,Unknown,Unknown,False,True,True,True,in process,False,Unknown,Unknown,Unknown,Unknown,Los Ángeles 132,Villaverde 21,Apartment
94.0,2,2.0,False,1,False,722,144247,1535,False,False,Unknown,False,True,False,True,True,True,not indicated,False,Unknown,Unknown,Unknown,Unknown,San Andrés 134,Villaverde 21,Apartment
64.0,2,1.0,True,Bajo,True,583,109900,1717,False,False,1955.0,Unknown,Unknown,False,False,True,True,in process,False,False,False,True,False,San Andrés 134,Villaverde 21,Apartment
108.0,2,2.0,True,4,False,1094,260000,2407,False,False,2003.0,Unknown,Unknown,True,True,True,True,in process,True,True,True,True,True,Los Rosales 133,Villaverde 21,Apartment
126.0,4,2.0,True,3,False,901,195000,1548,False,False,1981.0,False,True,False,False,False,True,in process,True,False,False,False,True,San Andrés 134,Villaverde 21,Apartment
120.0,5,2.0,True,1,False,884,190000,1583,False,False,Unknown,False,True,True,True,False,True,F,True,False,False,True,False,San Andrés 134,Villaverde 21,Apartment
125.0,3,2.0,True,2,False,912,198500,1588,False,False,Unknown,Unknown,Unknown,True,True,False,True,not indicated,False,False,False,True,False,San Andrés 134,Villaverde 21,Apartment
84.0,3,2.0,True,Unknown,Unknown,954,212000,2524,False,False,Unknown,Unknown,Unknown,True,True,True,True,F,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
85.0,2,1.0,True,7,False,672,131400,1546,True,False,1950.0,False,True,False,False,False,True,in process,False,False,True,False,False,Los Rosales 133,Villaverde 21,Apartment
69.0,2,2.0,True,2,False,617,118000,1710,True,False,1963.0,Unknown,Unknown,False,False,False,True,in process,False,Unknown,Unknown,Unknown,Unknown,San Andrés 134,Villaverde 21,Apartment
122.0,3,2.0,True,6,False,1058,246900,2024,False,False,Unknown,Unknown,Unknown,True,True,True,Unknown,E,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
123.0,3,2.0,False,4,False,901,195000,1585,False,False,1992.0,Unknown,Unknown,True,True,True,True,D,False,False,False,False,True,Los Rosales 133,Villaverde 21,Apartment
109.0,3,2.0,False,3,False,933,205000,1881,False,False,1983.0,Unknown,Unknown,False,True,True,True,E,False,False,False,True,False,Los Ángeles 132,Villaverde 21,Apartment
64.0,3,1.0,True,3,False,408,72000,1125,False,False,1960.0,False,True,False,False,False,True,F,False,Unknown,Unknown,Unknown,Unknown,San Cristóbal 135,Villaverde 21,Apartment
115.0,3,1.0,True,3,False,780,160000,1391,False,False,Unknown,False,True,True,False,Unknown,True,in process,False,Unknown,Unknown,Unknown,Unknown,Los Rosales 133,Villaverde 21,Apartment
115.0,3,1.0,True,1,False,867,184900,1608,False,False,Unknown,False,True,True,False,False,True,in process,False,Unknown,Unknown,Unknown,Unknown,Los Rosales 133,Villaverde 21,Apartment
65.0,3,1.0,True,4,False,494,90000,1385,False,False,Unknown,Unknown,Unknown,False,False,False,True,in process,False,Unknown,Unknown,Unknown,Unknown,Los Ángeles 132,Villaverde 21,Apartment
75.0,3,1.0,True,3,False,666,129900,1732,True,False,Unknown,Unknown,Unknown,False,False,True,True,in process,False,Unknown,Unknown,Unknown,Unknown,San Andrés 134,Villaverde 21,Apartment
60.0,2,1.0,True,Bajo,True,516,94900,1582,False,False,Unknown,Unknown,Unknown,True,True,False,True,in process,False,Unknown,Unknown,Unknown,Unknown,San Cristóbal 135,Villaverde 21,Apartment
60.0,2,1.0,True,2,False,493,89900,1498,False,False,Unknown,Unknown,Unknown,False,False,False,True,in process,False,Unknown,Unknown,Unknown,Unknown,San Andrés 134,Villaverde 21,Apartment
95.0,4,2.0,True,4,False,724,144900,1525,False,False,Unknown,Unknown,Unknown,True,False,False,True,in process,False,Unknown,Unknown,Unknown,Unknown,Los Ángeles 132,Villaverde 21,Apartment
76.0,3,1.0,True,2,False,583,110000,1447,True,False,Unknown,Unknown,Unknown,False,False,False,True,in process,False,Unknown,Unknown,Unknown,Unknown,San Andrés 134,Villaverde 21,Apartment
51.0,2,1.0,True,Semi-sótano,True,508,93000,1824,False,False,Unknown,Unknown,Unknown,False,False,Unknown,Unknown,in process,False,Unknown,Unknown,Unknown,Unknown,San Andrés 134,Villaverde 21,Apartment
134.0,3,2.0,True,2,False,666,130000,970,False,False,Unknown,Unknown,Unknown,False,False,True,Unknown,in process,False,Unknown,Unknown,Unknown,Unknown,San Andrés 134,Villaverde 21,Apartment
62.0,2,1.0,True,2,False,557,104000,1677,False,Unknown,Unknown,False,True,False,False,Unknown,True,in process,False,Unknown,Unknown,Unknown,Unknown,San Andrés 134,Villaverde 21,Apartment
75.0,3,1.0,False,3,False,698,138000,1840,False,False,1984.0,False,True,True,True,False,True,exempt property,True,False,False,False,True,San Andrés 134,Villaverde 21,Apartment
112.0,4,2.0,True,2,False,1148,280000,2500,False,False,Unknown,False,True,False,True,True,True,B,True,False,True,True,True,Butarque 131,Villaverde 21,Apartment
65.0,3,1.0,True,1,False,744,150000,2308,True,False,1976.0,False,True,False,True,True,True,in process,False,Unknown,Unknown,Unknown,Unknown,Los Rosales 133,Villaverde 21,Apartment
70.0,2,1.0,True,3,False,728,145900,2084,False,False,1968.0,False,True,True,True,False,True,E,False,False,False,True,False,San Andrés 134,Villaverde 21,Apartment
75.0,1,1.0,True,1,False,505,92500,1233,False,Unknown,2008.0,False,True,True,True,True,True,in process,False,True,True,True,True,San Andrés 134,Villaverde 21,Apartment
123.0,3,2.0,True,7,False,1195,298000,2423,False,False,2002.0,False,True,True,True,True,True,in process,True,Unknown,Unknown,Unknown,Unknown,Los Rosales 133,Villaverde 21,Apartment
61.0,3,1.0,True,2,False,539,99900,1638,False,Unknown,Unknown,False,True,True,False,Unknown,True,in process,False,Unknown,Unknown,Unknown,Unknown,San Andrés 134,Villaverde 21,Apartment
72.0,2,1.0,True,3,False,698,138000,1917,False,False,Unknown,False,True,True,True,False,True,in process,True,Unknown,Unknown,Unknown,Unknown,San Andrés 134,Villaverde 21,Apartment
61.0,3,1.0,False,5,False,539,100000,1639,False,False,1966.0,False,True,False,False,False,True,in process,False,True,False,True,False,Butarque 131,Villaverde 21,Apartment
71.0,3,1.0,True,1,False,672,131400,1851,True,False,1980.0,False,True,False,False,False,True,in process,False,Unknown,Unknown,Unknown,Unknown,San Andrés 134,Villaverde 21,Apartment
87.0,3,1.0,True,2,False,521,96000,1103,True,False,Unknown,Unknown,Unknown,True,False,False,True,E,False,Unknown,Unknown,Unknown,Unknown,Los Rosales 133,Villaverde 21,Apartment
60.0,2,1.0,True,Unknown,Unknown,758,154000,2567,False,False,Unknown,Unknown,Unknown,True,True,False,True,A,False,False,False,True,False,San Andrés 134,Villaverde 21,Apartment
78.0,4,1.0,True,2,False,731,146700,1881,False,Unknown,Unknown,Unknown,Unknown,False,True,True,True,G,False,False,False,True,False,Los Ángeles 132,Villaverde 21,Apartment
52.0,1,1.0,True,1,False,505,92500,1779,False,Unknown,Unknown,False,True,True,False,False,Unknown,G,False,Unknown,Unknown,Unknown,Unknown,Los Rosales 133,Villaverde 21,Apartment
125.0,3,3.0,True,7,False,1135,275000,2200,False,False,2004.0,Unknown,Unknown,True,False,True,True,D,False,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Duplex
75.0,0,1.0,True,1,False,465,83800,1117,False,False,2008.0,False,True,True,True,True,True,in process,False,True,True,True,True,San Andrés 134,Villaverde 21,Studio
97.0,2,2.0,False,Bajo,True,1111,266122,2744,False,True,Unknown,Unknown,Unknown,False,False,True,True,not indicated,False,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
93.0,2,2.0,False,7,False,1004,228273,2455,False,True,Unknown,Unknown,Unknown,False,False,True,True,not indicated,False,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
103.0,4,2.0,True,1,False,823,171900,1669,False,False,Unknown,Unknown,Unknown,False,False,True,True,in process,False,Unknown,Unknown,Unknown,Unknown,Los Ángeles 132,Villaverde 21,Apartment
83.0,2,2.0,True,7,False,1004,228273,2750,False,False,2020.0,False,True,True,True,True,True,in process,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Penthouse
45.0,2,1.0,True,1,False,471,85000,1889,True,False,1968.0,False,True,False,False,False,True,E,False,Unknown,Unknown,Unknown,Unknown,Los Rosales 133,Villaverde 21,Apartment
120.0,3,2.0,True,7,False,1195,298000,2483,False,False,Unknown,False,True,True,True,True,Unknown,in process,True,Unknown,Unknown,Unknown,Unknown,Los Rosales 133,Villaverde 21,Apartment
74.0,3,1.0,False,1,False,702,139000,1878,False,False,Unknown,False,True,False,True,False,True,not indicated,False,False,False,True,False,Los Ángeles 132,Villaverde 21,Apartment
125.0,3,2.0,False,7,False,1128,272500,2180,False,False,2004.0,False,True,False,True,True,True,F,False,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Duplex
126.0,4,2.0,True,Bajo,True,1135,275000,2183,False,False,Unknown,False,True,True,True,True,True,in process,True,False,False,True,True,Butarque 131,Villaverde 21,Apartment
158.0,3,2.0,False,4,False,1172,289000,1829,False,False,2003.0,False,True,True,True,True,True,in process,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Penthouse
65.0,2,1.0,True,Unknown,Unknown,604,115000,1769,False,False,Unknown,Unknown,Unknown,False,False,False,True,G,False,Unknown,Unknown,Unknown,Unknown,Los Rosales 133,Villaverde 21,Apartment
108.0,3,2.0,True,4,False,847,179000,1657,False,False,1978.0,Unknown,Unknown,False,True,True,True,in process,False,Unknown,Unknown,Unknown,Unknown,Los Ángeles 132,Villaverde 21,Apartment
62.0,2,1.0,True,Bajo,True,638,123000,1984,False,False,1984.0,False,True,True,False,True,True,E,False,True,False,False,False,San Andrés 134,Villaverde 21,Apartment
51.0,2,1.0,True,3,False,492,89500,1755,True,False,1967.0,Unknown,Unknown,False,False,False,True,in process,False,False,False,False,True,Los Rosales 133,Villaverde 21,Apartment
112.0,3,2.0,False,3,False,1172,289000,2580,False,False,2013.0,False,True,True,True,True,True,E,True,False,False,True,False,Butarque 131,Villaverde 21,Apartment
109.0,3,2.0,False,2,False,968,216278,1984,False,True,Unknown,False,True,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
107.0,3,2.0,False,1,False,940,207503,1939,False,True,Unknown,False,True,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
76.0,2,2.0,False,3,False,790,162793,2142,False,True,Unknown,False,True,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
105.0,3,2.0,False,1,False,933,204999,1952,False,True,Unknown,False,True,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
109.0,3,2.0,False,4,False,982,220879,2026,False,True,Unknown,False,True,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
108.0,3,2.0,False,4,False,974,218258,2021,False,True,Unknown,False,True,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
109.0,3,2.0,False,Bajo,True,1014,231855,2127,False,True,Unknown,False,True,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
76.0,2,2.0,False,4,False,793,163397,2150,False,True,Unknown,False,True,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
76.0,2,2.0,False,2,False,783,160759,2115,False,True,Unknown,False,True,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
108.0,3,2.0,False,3,False,970,217169,2011,False,True,Unknown,False,True,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
76.0,2,2.0,False,5,False,799,165208,2174,False,True,Unknown,False,True,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
109.0,3,2.0,False,3,False,978,219775,2016,False,True,Unknown,False,True,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
108.0,3,2.0,False,Bajo,True,1011,230817,2137,False,True,Unknown,False,True,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
108.0,3,2.0,False,2,False,960,213722,1979,False,True,Unknown,False,True,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
111.0,2,2.0,False,6,False,1011,230749,2079,False,True,Unknown,Unknown,Unknown,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Penthouse
115.0,3,2.0,False,2,False,1020,233789,2033,False,True,Unknown,Unknown,Unknown,False,False,True,True,not indicated,True,Unknown,Unknown,Unknown,Unknown,Butarque 131,Villaverde 21,Apartment
