sq_mt_built,n_rooms,n_bathrooms,is_exact_address_hidden,floor,is_floor_under,rent_price,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_terrace,has_storage_room,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,neighborhood,District,HouseType
64.0,2,1.0,0,3,0.0,471,0,85000,1328,1,0,0.0,1960.0,,,1.0,,0.0,1.0,,,D,0,,,0.0,1.0,0.0,0.0,San Cristóbal 135,Villaverde 21,Piso
70.0,3,1.0,1,4,0.0,666,0,129900,1856,1,1,0.0,,,,,1.0,1.0,1.0,1.0,,in process,0,,,,,,,Los Ángeles 132,Villaverde 21,Piso
94.0,2,2.0,0,1,0.0,722,0,144247,1535,1,0,0.0,,0.0,1.0,,1.0,1.0,1.0,,1.0,not indicated,0,,,,,,,San Andrés 134,Villaverde 21,Piso
64.0,2,1.0,1,Bajo,1.0,583,0,109900,1717,1,0,0.0,1955.0,,,,,1.0,1.0,,1.0,in process,0,,,0.0,0.0,1.0,0.0,San Andrés 134,Villaverde 21,Piso
108.0,2,2.0,1,4,0.0,1094,0,260000,2407,1,0,0.0,2003.0,,,1.0,1.0,1.0,1.0,,1.0,in process,1,1.0,0.0,1.0,1.0,1.0,1.0,Los Rosales 133,Villaverde 21,Piso
126.0,4,2.0,1,3,0.0,901,0,195000,1548,1,0,0.0,1981.0,0.0,1.0,,,0.0,1.0,1.0,,in process,1,1.0,0.0,0.0,0.0,0.0,1.0,San Andrés 134,Villaverde 21,Piso
120.0,5,2.0,1,1,0.0,884,0,190000,1583,1,0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,F,1,1.0,0.0,0.0,0.0,1.0,0.0,San Andrés 134,Villaverde 21,Piso
125.0,3,2.0,1,2,0.0,912,0,198500,1588,1,0,0.0,,,,1.0,1.0,0.0,1.0,1.0,,not indicated,0,,,0.0,0.0,1.0,0.0,San Andrés 134,Villaverde 21,Piso
84.0,3,2.0,1,,,954,0,212000,2524,1,0,0.0,,,,1.0,1.0,1.0,1.0,,1.0,F,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
85.0,2,1.0,1,7,0.0,672,0,131400,1546,1,1,0.0,1950.0,0.0,1.0,,,0.0,1.0,1.0,,in process,0,,,0.0,1.0,0.0,0.0,Los Rosales 133,Villaverde 21,Piso
69.0,2,2.0,1,2,0.0,617,0,118000,1710,1,1,0.0,1963.0,,,,,0.0,1.0,1.0,,in process,0,,,,,,,San Andrés 134,Villaverde 21,Piso
122.0,3,2.0,1,6,0.0,1058,0,246900,2024,1,0,0.0,,,,1.0,1.0,1.0,,,1.0,E,1,1.0,0.0,,,,,Butarque 131,Villaverde 21,Piso
123.0,3,2.0,0,4,0.0,901,0,195000,1585,1,0,0.0,1992.0,,,1.0,1.0,1.0,1.0,,,D,0,,,0.0,0.0,0.0,1.0,Los Rosales 133,Villaverde 21,Piso
109.0,3,2.0,0,3,0.0,933,0,205000,1881,1,0,0.0,1983.0,,,,1.0,1.0,1.0,1.0,1.0,E,0,,,0.0,0.0,1.0,0.0,Los Ángeles 132,Villaverde 21,Piso
