,Area,rooms,floor,price,elevator,exterior,district
0,64.0,2,3.0,85000,False,True,villaverde
1,70.0,3,4.0,129900,True,True,villaverde
2,94.0,2,1.0,144247,True,True,villaverde
3,64.0,2,0.0,109900,True,True,villaverde
4,108.0,2,4.0,260000,True,True,villaverde
5,126.0,4,3.0,195000,False,True,villaverde
6,120.0,5,1.0,190000,False,True,villaverde
7,125.0,3,2.0,198500,False,True,villaverde
8,85.0,2,7.0,131400,False,True,villaverde
9,69.0,2,2.0,118000,False,True,villaverde
10,123.0,3,4.0,195000,True,True,villaverde
11,109.0,3,3.0,205000,True,True,villaverde
12,64.0,3,3.0,72000,False,True,villaverde
13,115.0,3,1.0,184900,False,True,villaverde
14,65.0,3,4.0,90000,False,True,villaverde
15,75.0,3,3.0,129900,True,True,villaverde
16,60.0,2,0.0,94900,False,True,villaverde
17,60.0,2,2.0,89900,False,True,villaverde
18,95.0,4,4.0,144900,False,True,villaverde
19,76.0,3,2.0,110000,False,True,villaverde
20,75.0,3,3.0,138000,False,True,villaverde
21,112.0,4,2.0,280000,True,True,villaverde
22,65.0,3,1.0,150000,True,True,villaverde
23,70.0,2,3.0,145900,False,True,villaverde
24,75.0,1,1.0,92500,True,True,villaverde
25,123.0,3,7.0,298000,True,True,villaverde
26,72.0,2,3.0,138000,False,True,villaverde
27,61.0,3,5.0,100000,False,True,villaverde
28,71.0,3,1.0,131400,False,True,villaverde
29,87.0,3,2.0,96000,False,True,villaverde
30,78.0,4,2.0,146700,True,True,villaverde
31,125.0,3,7.0,275000,True,True,villaverde
32,75.0,0,1.0,83800,True,True,villaverde
33,97.0,2,0.0,266122,True,True,villaverde
34,93.0,2,7.0,228273,True,True,villaverde
35,103.0,4,1.0,171900,True,True,villaverde
36,83.0,2,7.0,228273,True,True,villaverde
37,45.0,2,1.0,85000,False,True,villaverde
38,74.0,3,1.0,139000,False,True,villaverde
39,125.0,3,7.0,272500,True,True,villaverde
40,126.0,4,0.0,275000,True,True,villaverde
42,108.0,3,4.0,179000,True,True,villaverde
43,62.0,2,0.0,123000,True,True,villaverde
44,51.0,2,3.0,89500,False,True,villaverde
45,112.0,3,3.0,289000,True,True,villaverde
46,109.0,3,2.0,216278,True,True,villaverde
47,107.0,3,1.0,207503,True,True,villaverde
48,76.0,2,3.0,162793,True,True,villaverde
49,105.0,3,1.0,204999,True,True,villaverde
50,109.0,3,4.0,220879,True,True,villaverde
51,108.0,3,4.0,218258,True,True,villaverde
52,109.0,3,0.0,231855,True,True,villaverde
53,76.0,2,4.0,163397,True,True,villaverde
54,76.0,2,2.0,160759,True,True,villaverde
55,108.0,3,3.0,217169,True,True,villaverde
56,76.0,2,5.0,165208,True,True,villaverde
57,109.0,3,3.0,219775,True,True,villaverde
58,108.0,3,0.0,230817,True,True,villaverde
59,108.0,3,2.0,213722,True,True,villaverde
60,111.0,2,6.0,230749,True,True,villaverde
61,115.0,3,2.0,233789,True,True,villaverde
62,115.0,3,1.0,230789,True,True,villaverde
63,117.0,3,1.0,244171,True,True,villaverde
64,117.0,3,1.0,243468,True,True,villaverde
65,117.0,3,1.0,244798,True,True,villaverde
66,118.0,3,1.0,219235,True,True,villaverde
67,115.0,3,5.0,242789,True,True,villaverde
68,106.0,3,3.0,251569,True,True,villaverde
69,103.0,3,3.0,235402,True,True,villaverde
70,103.0,3,1.0,235172,True,True,villaverde
71,103.0,3,5.0,236227,True,True,villaverde
72,114.0,3,2.0,254710,True,True,villaverde
74,58.0,3,2.0,85000,False,True,villaverde
75,65.0,3,1.0,94000,False,True,villaverde
76,110.0,4,1.0,175000,False,True,villaverde
78,75.0,2,3.0,156000,True,True,villaverde
79,90.0,1,7.0,183159,True,True,villaverde
80,125.0,3,1.0,210000,True,True,villaverde
81,58.0,2,0.0,85000,False,True,villaverde
82,92.0,3,6.0,159900,True,True,villaverde
83,70.0,2,3.0,117000,False,True,villaverde
84,54.0,2,2.0,110000,False,True,villaverde
85,52.0,2,1.0,100000,False,True,villaverde
86,108.0,3,2.0,140000,False,True,villaverde
87,65.0,2,3.0,106500,False,True,villaverde
88,102.0,3,3.0,127500,False,True,villaverde
89,80.0,2,3.0,148000,True,True,villaverde
