Area,rooms,floor,price,elevator,exterior,district
64.0,2,3.0,85000,False,True,Villaverde 21
70.0,3,4.0,129900,True,True,Villaverde 21
94.0,2,1.0,144247,True,True,Villaverde 21
64.0,2,0.0,109900,True,True,Villaverde 21
108.0,2,4.0,260000,True,True,Villaverde 21
126.0,4,3.0,195000,False,True,Villaverde 21
120.0,5,1.0,190000,False,True,Villaverde 21
125.0,3,2.0,198500,False,True,Villaverde 21
85.0,2,7.0,131400,False,True,Villaverde 21
69.0,2,2.0,118000,False,True,Villaverde 21
123.0,3,4.0,195000,True,True,Villaverde 21
109.0,3,3.0,205000,True,True,Villaverde 21
64.0,3,3.0,72000,False,True,Villaverde 21
115.0,3,1.0,184900,False,True,Villaverde 21
65.0,3,4.0,90000,False,True,Villaverde 21
75.0,3,3.0,129900,True,True,Villaverde 21
60.0,2,0.0,94900,False,True,Villaverde 21
60.0,2,2.0,89900,False,True,Villaverde 21
95.0,4,4.0,144900,False,True,Villaverde 21
76.0,3,2.0,110000,False,True,Villaverde 21
75.0,3,3.0,138000,False,True,Villaverde 21
112.0,4,2.0,280000,True,True,Villaverde 21
65.0,3,1.0,150000,True,True,Villaverde 21
70.0,2,3.0,145900,False,True,Villaverde 21
75.0,1,1.0,92500,True,True,Villaverde 21
123.0,3,7.0,298000,True,True,Villaverde 21
72.0,2,3.0,138000,False,True,Villaverde 21
61.0,3,5.0,100000,False,True,Villaverde 21
71.0,3,1.0,131400,False,True,Villaverde 21
87.0,3,2.0,96000,False,True,Villaverde 21
78.0,4,2.0,146700,True,True,Villaverde 21
125.0,3,7.0,275000,True,True,Villaverde 21
75.0,0,1.0,83800,True,True,Villaverde 21
97.0,2,0.0,266122,True,True,Villaverde 21
93.0,2,7.0,228273,True,True,Villaverde 21
103.0,4,1.0,171900,True,True,Villaverde 21
83.0,2,7.0,228273,True,True,Villaverde 21
45.0,2,1.0,85000,False,True,Villaverde 21
74.0,3,1.0,139000,False,True,Villaverde 21
125.0,3,7.0,272500,True,True,Villaverde 21
126.0,4,0.0,275000,True,True,Villaverde 21
158.0,3,4.0,289000,True,True,Villaverde 21
108.0,3,4.0,179000,True,True,Villaverde 21
62.0,2,0.0,123000,True,True,Villaverde 21
51.0,2,3.0,89500,False,True,Villaverde 21
112.0,3,3.0,289000,True,True,Villaverde 21
109.0,3,2.0,216278,True,True,Villaverde 21
107.0,3,1.0,207503,True,True,Villaverde 21
76.0,2,3.0,162793,True,True,Villaverde 21
105.0,3,1.0,204999,True,True,Villaverde 21
109.0,3,4.0,220879,True,True,Villaverde 21
108.0,3,4.0,218258,True,True,Villaverde 21
109.0,3,0.0,231855,True,True,Villaverde 21
76.0,2,4.0,163397,True,True,Villaverde 21
76.0,2,2.0,160759,True,True,Villaverde 21
108.0,3,3.0,217169,True,True,Villaverde 21
76.0,2,5.0,165208,True,True,Villaverde 21
109.0,3,3.0,219775,True,True,Villaverde 21
108.0,3,0.0,230817,True,True,Villaverde 21
108.0,3,2.0,213722,True,True,Villaverde 21
111.0,2,6.0,230749,True,True,Villaverde 21
115.0,3,2.0,233789,True,True,Villaverde 21
115.0,3,1.0,230789,True,True,Villaverde 21
117.0,3,1.0,244171,True,True,Villaverde 21
117.0,3,1.0,243468,True,True,Villaverde 21
