location,id,n_bedrooms,n_bathrooms,HouseType,sq_mt_built,buy_price,built_year,has_storage_room,has_parking,has_terrace,has_fitted_wardrobes
"Ríos Rosas, Madrid city",VM2407030,1.0,1.0,Flat,34.0,"287,000",,0,0,0,1
"Recoletos, Madrid city",ONM2407004,,,Building,197.0,"2,917,000",,0,0,1,0
"Almagro, Madrid city",VM2407031,1.0,1.0,Flat,49.0,"450,000",,1,0,0,0
"Goya, Madrid city",VM2407032,3.0,4.0,Flat,148.0,"2,500,000",,1,0,0,0
"Castellana, Madrid city",VM2407024,2.0,2.0,Flat,101.0,"1,359,000",,0,0,0,0
"Recoletos, Madrid city",VM2407026,2.0,2.0,Flat,76.0,"829,000",,0,1,0,0
"Trafalgar, Madrid city",VM2407025,2.0,2.0,Flat,96.0,"820,000",,0,0,0,0
"Hispanoamérica, Madrid city",VM2407027,3.0,,Flat,177.0,"1,100,000",,0,0,1,0
"Universidad, Madrid city",VM2407028,1.0,1.0,Flat,51.0,"390,000",,0,0,0,0
"Universidad, Madrid city",ONM2407003,,,Building,115.0,"505,000",,0,0,1,0
"Justicia, Madrid city",VM2407033,4.0,3.0,Flat,180.0,"1,060,000",,1,0,0,0
"El Viso, Madrid city",VM2407021,4.0,4.0,Flat,234.0,"1,400,000",,0,0,0,0
"El Viso, Madrid city",VM2407023,5.0,4.0,Apartment,366.0,"2,650,000",,1,1,0,0
"Fresno Norte, Madrid Norte",VMN2407002,5.0,5.0,House,639.0,"1,795,000",,1,1,1,1
"Bonanza, Madrid Noroeste",VMO2407002,4.0,3.0,Villa,343.0,"995,000",197.0,0,0,1,0
"Hispanoamérica, Madrid city",VM2407020,2.0,2.0,Flat,174.0,"1,200,000",,0,0,0,0
"Monte del Pilar, Madrid Noroeste",VMO2407003,3.0,4.0,House,190.0,"1,050,000",,0,0,1,0
"Guindalera, Madrid city",VM2407017,4.0,3.0,Flat,219.0,"835,000",,0,0,1,0
"Polígono Industrial Norte, Madrid Norte",ONM2407002,,,Building,57.5,"185,000",,0,1,1,0
"Lista, Madrid city",VM2407018,3.0,2.0,Flat,123.0,"1,250,000",,0,0,0,0
"Lista, Madrid city",VM2407019,2.0,2.0,Flat,67.0,"635,000",,0,0,0,0
"Embajadores, Madrid city",VM2407022,1.0,1.0,Flat,87.0,"580,000",,0,0,1,1
"Universidad, Madrid city",VM2407012,3.0,3.0,Flat,128.0,"990,000",,0,0,0,0
"Almagro, Madrid city",VM2407013,3.0,4.0,Flat,176.0,"2,270,000",,0,0,0,1
"Prosperidad, Madrid city",VM2407015,2.0,1.0,Flat,65.0,"360,000",,0,0,0,0
"Castellana, Madrid city",VM2407014,3.0,3.0,Flat,170.0,"1,499,000",,1,1,0,1
"Trafalgar, Madrid city",VM2407006,3.0,2.0,House,115.0,"1,050,000",,0,0,1,0
"Arturo Soria, Madrid city",ONM2407001,,,Building,102.0,"542,000",,0,0,1,0
"Lista, Madrid city",VM2407007,2.0,2.0,Flat,90.0,"875,000",,0,0,1,1
"Gaztambide, Madrid city",VM2407009,4.0,3.0,Flat,207.0,"1,300,000",,1,0,1,0
"Hispanoamérica, Madrid city",VM2407010,3.0,2.0,Flat,92.0,"600,000",,0,0,0,0
"Goya, Madrid city",VM2407011,2.0,1.0,Flat,43.0,"520,000",,0,0,0,0
"Recoletos, Madrid city",VM2407002,3.0,4.0,Flat,305.0,"5,500,000",,1,0,0,0
"Goya, Madrid city",VM2407004,2.0,3.0,Flat,114.0,"1,480,000",,0,0,0,0
"El Espinar, Madrid Noroeste",VMO2407001,4.0,6.0,Flat,963.0,"2,500,000",,1,0,1,0
"Cuatro Caminos, Madrid city",VM2407005,4.0,3.0,Flat,248.0,"1,290,000",,0,0,0,0
