price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,sports_centers,social_wellness_index,urban_mobility_index,education_index,employment_index,health_index
995000,planta 2,exterior,4,118.0,1,0,Castellana,salamanca,0.0,7.63,9.14,6.63,5.58,6.0
1130000,planta 3,exterior,2,78.0,1,1,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19
889000,planta 2,exterior,3,117.0,1,0,Universidad,centro,0.0,9.99,11.46,4.88,7.75,9.71
235000,bajo,interior,1,40.0,1,0,Gaztambide,chamberi,0.0,6.02,19.59,5.61,5.37,9.86
385000,bajo,exterior,2,118.0,1,1,Almenara,tetuan,1.0,6.77,10.96,9.92,9.99,8.13
1500000,planta 5,exterior,3,135.0,1,1,Palos de Moguer,arganzuela,1.0,6.19,9.22,4.5,6.45,5.89
629000,planta 4,interior,2,64.0,1,0,Universidad,centro,0.0,9.99,11.46,4.88,7.75,9.71
420000,planta 2,exterior,2,53.0,1,0,Universidad,centro,0.0,9.99,11.46,4.88,7.75,9.71
640000,planta 2,exterior,3,115.0,1,1,Valdefuentes,hortaleza,0.0,5.84,5.49,4.49,5.32,7.08
580000,planta 4,exterior,1,87.0,1,0,Embajadores,centro,0.0,9.77,9.24,5.46,10.08,8.12
290000,bajo,interior,2,54.0,1,0,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71
979000,planta 2,exterior,4,110.0,1,0,Sol,centro,0.0,13.04,26.06,6.79,9.32,15.45
195000,bajo,exterior,3,140.0,1,0,San Diego,puente-de-vallecas,0.0,12.89,8.94,11.01,15.23,6.97
959000,planta 1,exterior,2,142.0,1,0,Universidad,centro,0.0,9.99,11.46,4.88,7.75,9.71
268700,bajo,interior,1,48.0,1,0,Universidad,centro,0.0,9.99,11.46,4.88,7.75,9.71
560000,planta 1,exterior,3,104.0,1,1,Delicias,arganzuela,1.0,6.35,7.14,6.22,5.81,6.34
1560000,planta 1,exterior,3,145.0,1,0,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19
385000,planta 1,exterior,2,95.0,1,0,Valdeacederas,tetuan,0.0,7.15,4.91,11.54,9.31,8.41
849000,planta 2,interior,3,111.0,1,0,Justicia,centro,2.0,9.89,8.44,6.66,7.56,9.58
890000,planta 5,exterior,1,84.0,1,0,Cortes,centro,0.0,12.32,6.35,4.78,8.15,10.5
234000,planta 2,exterior,3,62.0,1,0,Ventas,ciudad lineal,0.0,5.9,6.81,6.34,7.79,6.97
1649000,planta 1,exterior,3,162.0,1,0,Castellana,salamanca,0.0,7.63,9.14,6.63,5.58,6.0
239000,bajo,exterior,1,37.0,1,0,Argüelles,moncloa,0.0,5.25,23.84,3.97,5.57,5.97
159000,bajo,exterior,2,54.0,1,0,Pueblo Nuevo,ciudad lineal,2.0,5.74,7.56,6.53,8.17,6.18
695000,planta 1,exterior,4,172.0,1,0,Guindalera,salamanca,1.0,6.17,5.73,4.94,4.63,7.34
1180000,bajo,exterior,4,191.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63
375000,planta 4,exterior,2,108.0,1,1,Quintana,ciudad lineal,0.0,6.2,12.09,5.87,8.41,6.76
599000,planta 5,exterior,2,116.0,1,0,Embajadores,centro,0.0,9.77,9.24,5.46,10.08,8.12
840000,planta 10,exterior,4,125.0,1,1,Nueva España,chamartin,1.0,7.48,6.48,4.98,4.38,6.82
380000,planta 4,exterior,1,40.0,1,1,Prosperidad,chamartin,0.0,5.57,9.03,5.38,4.84,6.59
679000,planta 2,interior,2,72.0,1,0,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71
1419000,bajo,exterior,3,149.0,1,0,Castellana,salamanca,0.0,7.63,9.14,6.63,5.58,6.0
989000,planta 2,exterior,3,112.0,1,0,Sol,centro,0.0,13.04,26.06,6.79,9.32,15.45
698000,planta 7,interior,3,79.0,1,0,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71
154900,planta 1,exterior,3,61.0,1,0,Hellín,san-blas,1.0,6.66,4.82,8.56,9.37,8.83
310000,entreplanta,exterior,2,144.0,1,1,Bellas Vistas,tetuan,0.0,6.46,11.66,9.13,9.37,6.02
950000,planta 6,exterior,2,98.0,1,0,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71
525000,planta 2,exterior,4,152.0,1,1,Valdeacederas,tetuan,0.0,7.15,4.91,11.54,9.31,8.41
1349000,planta 1,exterior,2,120.0,1,0,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19
470000,planta 7,exterior,0,36.0,1,0,Castellana,salamanca,0.0,7.63,9.14,6.63,5.58,6.0
250000,planta 4,interior,1,40.0,1,0,Universidad,centro,0.0,9.99,11.46,4.88,7.75,9.71
247000,bajo,exterior,2,69.0,1,0,Valdeacederas,tetuan,0.0,7.15,4.91,11.54,9.31,8.41
940000,planta 8,exterior,3,135.0,1,0,Gaztambide,chamberi,0.0,6.02,19.59,5.61,5.37,9.86
1200000,planta 3,exterior,2,100.0,1,1,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71
1250000,bajo,exterior,2,132.0,1,0,Castellana,salamanca,0.0,7.63,9.14,6.63,5.58,6.0
580000,planta 8,exterior,1,80.0,1,0,Nueva España,chamartin,1.0,7.48,6.48,4.98,4.38,6.82
1530000,planta 7,exterior,3,180.0,1,0,El Viso,chamartin,0.0,7.5,5.25,5.08,4.59,7.35
675000,bajo,interior,2,61.0,1,0,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71
492000,planta 7,exterior,0,49.0,1,0,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71
649000,planta 4,exterior,2,83.0,1,1,Corralejos,barajas,0.0,7.36,3.35,2.43,3.93,9.3
960000,planta 1,exterior,3,130.0,1,0,Gaztambide,chamberi,0.0,6.02,19.59,5.61,5.37,9.86
385000,planta 1,exterior,2,95.0,1,0,Valdeacederas,tetuan,0.0,7.15,4.91,11.54,9.31,8.41
560000,planta 1,exterior,3,104.0,1,1,Delicias,arganzuela,1.0,6.35,7.14,6.22,5.81,6.34
279990,planta 6,exterior,3,89.0,1,1,Ensanche de Vallecas,villa-de-vallecas,1.0,8.93,5.28,11.0,8.64,6.02
383000,planta 3,exterior,4,121.0,1,1,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02
2190000,planta 7,exterior,3,196.0,1,1,Almagro,chamberi,0.0,8.4,9.47,5.43,5.19,10.11
1195000,entreplanta,exterior,3,170.0,1,0,Universidad,centro,0.0,9.99,11.46,4.88,7.75,9.71
1100000,planta 1,exterior,2,160.0,1,0,Justicia,centro,2.0,9.89,8.44,6.66,7.56,9.58
425000,planta 1,exterior,1,55.0,1,0,Hispanoamérica,chamartin,0.0,5.56,7.37,5.15,4.38,6.32
249000,planta 1,interior,1,30.0,1,0,Universidad,centro,0.0,9.99,11.46,4.88,7.75,9.71
1349000,planta 9,exterior,3,152.0,1,0,Castillejos,tetuan,1.0,6.75,8.8,10.44,7.04,6.64
445000,bajo,exterior,1,73.0,1,0,Argüelles,moncloa,0.0,5.25,23.84,3.97,5.57,5.97
2250000,planta 5,exterior,2,173.0,1,0,Sol,centro,0.0,13.04,26.06,6.79,9.32,15.45
995750,planta 1,exterior,2,134.0,1,1,Ciudad Jardín,chamartin,1.0,5.7,9.43,3.39,5.12,7.01
1500000,planta 7,exterior,2,182.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63
725000,planta 1,exterior,3,145.0,1,0,Vallehermoso,chamberi,2.0,5.95,8.37,5.36,4.21,9.75
1222150,planta 1,exterior,2,157.0,1,1,Ciudad Jardín,chamartin,1.0,5.7,9.43,3.39,5.12,7.01
629000,planta 2,exterior,4,156.0,1,1,Alameda de Osuna,barajas,2.0,6.39,5.1,2.49,4.29,6.97
599000,planta 8,exterior,3,125.0,1,1,Pacífico,retiro,2.0,6.13,11.74,3.79,4.8,6.71
590000,planta 2,exterior,3,80.0,1,0,Cortes,centro,0.0,12.32,6.35,4.78,8.15,10.5
699000,planta 1,interior,2,105.0,1,0,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71
647000,planta 1,exterior,2,79.0,1,0,Palacio,centro,1.0,10.62,4.44,5.01,7.14,8.77
710000,planta 4,exterior,2,87.0,1,0,Justicia,centro,2.0,9.89,8.44,6.66,7.56,9.58
780000,planta 7,interior,2,102.0,1,1,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71
1495000,planta 6,exterior,3,170.0,1,0,El Viso,chamartin,0.0,7.5,5.25,5.08,4.59,7.35
335000,planta 1,interior,3,79.0,1,0,Peñagrande,fuencarral,1.0,5.95,5.62,5.3,5.14,6.19
590000,planta 2,exterior,1,75.0,1,1,Argüelles,moncloa,0.0,5.25,23.84,3.97,5.57,5.97
439000,planta 4,exterior,4,108.0,1,0,Los Cármenes,latina,1.0,8.94,5.5,10.64,10.6,7.07
795000,planta 5,exterior,3,128.0,1,0,Fuente del Berro,salamanca,2.0,6.04,5.76,5.1,5.14,5.95
620000,entreplanta,interior,2,98.0,1,0,Lista,salamanca,0.0,5.91,12.09,6.82,5.67,5.71
169900,planta 2,interior,2,57.0,1,0,Canillejas,san-blas,0.0,6.2,6.24,7.96,8.3,5.88
449000,planta 10,exterior,3,91.0,1,0,La Paz,fuencarral,1.0,5.57,4.55,4.62,4.23,7.44
1189000,planta 5,exterior,4,164.0,1,0,Sol,centro,0.0,13.04,26.06,6.79,9.32,15.45
550000,planta 2,exterior,2,88.0,1,1,Palomas,hortaleza,1.0,7.36,5.47,6.35,5.69,8.1
435000,planta 5,interior,2,66.0,1,0,Prosperidad,chamartin,0.0,5.57,9.03,5.38,4.84,6.59
420000,planta 7,exterior,2,80.0,1,0,Berruguete,tetuan,1.0,6.73,22.98,9.3,9.27,6.1
1200000,bajo,exterior,3,180.0,1,0,Ibiza,retiro,0.0,8.17,56.34,3.6,5.55,6.55
830000,planta 6,exterior,2,83.0,1,0,Ríos Rosas,chamberi,0.0,6.45,10.7,5.57,4.91,9.34
930000,planta 2,exterior,2,120.0,1,0,Almagro,chamberi,0.0,8.4,9.47,5.43,5.19,10.11
380000,planta 4,exterior,1,40.0,1,1,Prosperidad,chamartin,0.0,5.57,9.03,5.38,4.84,6.59
830000,planta 7,exterior,4,155.0,1,1,Jerónimos,Jerónimos,0.0,9.05,3.24,3.36,4.7,13.62
1175000,planta 7,exterior,4,171.0,1,0,Palacio,centro,1.0,10.62,4.44,5.01,7.14,8.77
1200000,planta 2,exterior,2,124.0,1,0,Jerónimos,Jerónimos,0.0,9.05,3.24,3.36,4.7,13.62
320000,bajo,interior,1,59.0,1,0,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91
580000,bajo,exterior,1,69.0,1,1,Piovera,hortaleza,0.0,7.08,6.86,6.49,5.55,7.8
299000,bajo,exterior,1,43.0,1,0,Castilla,chamartin,0.0,5.61,5.03,5.25,4.33,7.23
1100000,planta 9,exterior,2,133.0,1,0,Palacio,centro,1.0,10.62,4.44,5.01,7.14,8.77
765000,planta 4,exterior,2,109.0,1,1,Mirasierra,fuencarral,1.0,6.2,5.3,4.26,4.33,7.05
1080000,planta 5,exterior,4,147.0,1,0,Sol,centro,0.0,13.04,26.06,6.79,9.32,15.45
1200000,planta 3,exterior,2,174.0,1,1,Hispanoamérica,chamartin,0.0,5.56,7.37,5.15,4.38,6.32
