,price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district
0,995000,planta 2,exterior,4,118.0,1,0,Castellana,salamanca
1,1130000,planta 3,exterior,2,78.0,1,1,Recoletos,salamanca
2,3600000,planta 2,interior,3,231.0,1,1,Recoletos,salamanca
3,3500000,planta 1,exterior,4,293.0,1,0,Recoletos,salamanca
4,1100000,planta 2,exterior,3,236.0,1,1,Prosperidad,chamartin
5,3750000,planta 1,exterior,4,238.0,1,0,Recoletos,salamanca
6,889000,planta 2,exterior,3,117.0,1,0,Universidad,centro
7,235000,bajo,interior,1,40.0,1,0,Gaztambide,chamberi
8,385000,bajo,exterior,2,118.0,1,1,Almenara,tetuan
9,1300000,planta 1,exterior,3,230.0,1,0,Embajadores,centro
10,960000,planta 3,exterior,7,204.0,1,0,Embajadores,centro
11,1500000,planta 5,exterior,3,135.0,1,1,Palos de Moguer,arganzuela
12,629000,planta 4,interior,2,64.0,1,0,Universidad,centro
13,420000,planta 2,exterior,2,53.0,1,0,Universidad,centro
14,640000,planta 2,exterior,3,115.0,1,1,Valdefuentes,hortaleza
15,580000,planta 4,exterior,1,87.0,1,0,Embajadores,centro
16,1350000,planta 1,exterior,3,224.0,1,0,Sol,centro
17,290000,bajo,interior,2,54.0,1,0,Lista,salamanca
18,979000,planta 2,exterior,4,110.0,1,0,Sol,centro
19,195000,bajo,exterior,3,140.0,1,0,San Diego,puente-de-vallecas
20,3650000,planta 10,exterior,3,362.0,1,1,Universidad,centro
24,959000,planta 1,exterior,2,142.0,1,0,Universidad,centro
25,1750000,chalet,exterior,4,250.0,0,0,Hispanoamérica,chamartin
26,268700,bajo,interior,1,48.0,1,0,Universidad,centro
27,560000,planta 1,exterior,3,104.0,1,1,Delicias,arganzuela
28,1560000,planta 1,exterior,3,145.0,1,0,Recoletos,salamanca
29,2500000,planta 1,exterior,3,227.0,1,0,Jerónimos,Jerónimos
30,385000,planta 1,exterior,2,95.0,1,0,Valdeacederas,tetuan
32,849000,planta 2,interior,3,111.0,1,0,Justicia,centro
33,890000,planta 5,exterior,1,84.0,1,0,Cortes,centro
34,234000,planta 2,exterior,3,62.0,1,0,Ventas,ciudad lineal
36,1649000,planta 1,exterior,3,162.0,1,0,Castellana,salamanca
37,239000,bajo,exterior,1,37.0,1,0,Argüelles,moncloa
38,159000,bajo,exterior,2,54.0,1,0,Pueblo Nuevo,ciudad lineal
39,695000,planta 1,exterior,4,172.0,1,0,Guindalera,salamanca
41,1180000,bajo,exterior,4,191.0,1,0,Goya,salamanca
42,2300000,planta 3,exterior,3,204.0,1,1,Almagro,chamberi
43,375000,planta 4,exterior,2,108.0,1,1,Quintana,ciudad lineal
44,599000,planta 5,exterior,2,116.0,1,0,Embajadores,centro
45,840000,planta 10,exterior,4,125.0,1,1,Nueva España,chamartin
46,1700000,planta 6,exterior,4,350.0,1,1,Bellas Vistas,tetuan
47,380000,planta 4,exterior,1,40.0,1,1,Prosperidad,chamartin
48,2600000,planta 4,exterior,5,486.0,1,1,Nueva España,chamartin
50,679000,planta 2,interior,2,72.0,1,0,Lista,salamanca
51,1419000,bajo,exterior,3,149.0,1,0,Castellana,salamanca
52,989000,planta 2,exterior,3,112.0,1,0,Sol,centro
54,1200000,planta 3,exterior,4,300.0,1,1,Valdemarín,moncloa
55,2490000,bajo,exterior,4,300.0,1,1,Nueva España,chamartin
57,698000,planta 7,interior,3,79.0,1,0,Lista,salamanca
58,154900,planta 1,exterior,3,61.0,1,0,Hellín,san-blas
59,310000,entreplanta,exterior,2,144.0,1,1,Bellas Vistas,tetuan
60,950000,planta 6,exterior,2,98.0,1,0,Lista,salamanca
61,525000,planta 2,exterior,4,152.0,1,1,Valdeacederas,tetuan
62,1349000,planta 1,exterior,2,120.0,1,0,Recoletos,salamanca
63,470000,planta 7,exterior,0,36.0,1,0,Castellana,salamanca
64,1875000,planta 3,exterior,4,346.0,1,1,Piovera,hortaleza
65,250000,planta 4,interior,1,40.0,1,0,Universidad,centro
66,247000,bajo,exterior,2,69.0,1,0,Valdeacederas,tetuan
67,960000,planta 3,exterior,5,204.0,1,0,Embajadores,centro
68,940000,planta 8,exterior,3,135.0,1,0,Gaztambide,chamberi
70,1200000,planta 3,exterior,2,100.0,1,1,Lista,salamanca
71,1250000,bajo,exterior,2,132.0,1,0,Castellana,salamanca
72,580000,planta 8,exterior,1,80.0,1,0,Nueva España,chamartin
73,1530000,planta 7,exterior,3,180.0,1,0,El Viso,chamartin
74,675000,bajo,interior,2,61.0,1,0,Lista,salamanca
75,492000,planta 7,exterior,0,49.0,1,0,Lista,salamanca
76,649000,planta 4,exterior,2,83.0,1,1,Corralejos,barajas
77,960000,planta 1,exterior,3,130.0,1,0,Gaztambide,chamberi
78,385000,planta 1,exterior,2,95.0,1,0,Valdeacederas,tetuan
79,560000,planta 1,exterior,3,104.0,1,1,Delicias,arganzuela
80,279990,planta 6,exterior,3,89.0,1,1,Ensanche de Vallecas,villa-de-vallecas
81,1690000,planta 7,interior,4,210.0,1,1,Ríos Rosas,chamberi
82,383000,planta 3,exterior,4,121.0,1,1,Vista Alegre,carabanchel
85,1650000,planta 3,exterior,4,200.0,1,1,El Viso,chamartin
86,1310000,planta 1,exterior,6,427.0,1,1,Atalaya,ciudad lineal
88,2190000,planta 7,exterior,3,196.0,1,1,Almagro,chamberi
89,1820000,planta 2,exterior,5,314.0,1,0,El Viso,chamartin
90,1195000,entreplanta,exterior,3,170.0,1,0,Universidad,centro
91,1100000,planta 1,exterior,2,160.0,1,0,Justicia,centro
93,425000,planta 1,exterior,1,55.0,1,0,Hispanoamérica,chamartin
94,249000,planta 1,interior,1,30.0,1,0,Universidad,centro
95,1349000,planta 9,exterior,3,152.0,1,0,Castillejos,tetuan
96,3500000,planta 1,exterior,5,310.0,1,1,El Viso,chamartin
97,1200000,planta 2,exterior,8,244.0,1,0,Gaztambide,chamberi
98,445000,bajo,exterior,1,73.0,1,0,Argüelles,moncloa
100,2250000,planta 5,exterior,2,173.0,1,0,Sol,centro
101,1795000,planta 1,exterior,4,339.0,1,1,Piovera,hortaleza
102,2400000,planta 4,exterior,3,255.0,1,0,Sol,centro
103,3100000,casa,exterior,4,245.0,1,1,Jerónimos,Jerónimos
104,995750,planta 1,exterior,2,134.0,1,1,Ciudad Jardín,chamartin
105,1500000,planta 7,exterior,2,182.0,1,0,Goya,salamanca
106,725000,planta 1,exterior,3,145.0,1,0,Vallehermoso,chamberi
107,1222150,planta 1,exterior,2,157.0,1,1,Ciudad Jardín,chamartin
109,2995000,planta 2,exterior,4,335.0,1,1,Jerónimos,Jerónimos
110,5400000,planta 3,exterior,5,518.0,1,0,Recoletos,salamanca
111,629000,planta 2,exterior,4,156.0,1,1,Alameda de Osuna,barajas
112,599000,planta 8,exterior,3,125.0,1,1,Pacífico,retiro
113,590000,planta 2,exterior,3,80.0,1,0,Cortes,centro
114,699000,planta 1,interior,2,105.0,1,0,Lista,salamanca
115,647000,planta 1,exterior,2,79.0,1,0,Palacio,centro
