price,house_type,house_type_2,rooms,m2,elevator,garage,neighbourhood,district
209995,Piso,interior,2,50.0,1,0,Las Acacias,Arganzuela
209995,Piso,interior,2,50.0,1,0,Embajadores,Centro
180000,Piso,exterior,1,50.0,1,1,Villaverde Alto,Villaverde
290000,Piso,interior,1,50.0,1,0,Universidad,Centro
176000,Piso,exterior,1,50.0,1,1,Rejas,San Blas-Canillejas
439000,Piso,interior,1,50.0,1,0,Castellana,Salamanca
1129000,Piso,exterior,2,105.0,1,0,Goya,Salamanca
2950000,Piso,exterior,4,241.0,1,1,Almagro,Chamberí
885000,Ático,exterior,2,127.0,1,0,Ríos Rosas,Chamberí
117600,Piso,exterior,4,95.0,1,1,Aluche,Latina
160000,Piso,exterior,3,81.0,1,0,Lucero,Latina
160000,Piso,exterior,2,68.0,1,0,Amposta,San Blas-Canillejas
160000,Piso,exterior,2,54.0,1,0,Puerta Bonita,Carabanchel
160000,Piso,exterior,1,40.0,1,0,Opañel,Carabanchel
160000,Piso,interior,1,80.0,1,0,Berruguete,Tetuán
160000,Piso,exterior,2,61.0,1,0,Numancia,Puente de Vallecas
160000,Piso,interior,1,54.0,1,0,Puerta del Ángel,Latina
160000,Piso,interior,1,54.0,1,0,Puerta del Ángel,Latina
1250000,Dúplex,exterior,5,279.0,1,1,Fuente del Berro,Salamanca
184000,Piso,interior,3,66.0,1,0,Buenavista,Carabanchel
149000,Piso,exterior,1,45.0,1,0,Puerta del Ángel,Latina
860000,Piso,interior,2,150.0,1,0,Lista,Salamanca
240000,Piso,exterior,2,105.0,1,0,Pinar del Rey,Hortaleza
380000,Piso,exterior,4,155.0,1,0,San Isidro,Carabanchel
300000,Piso,exterior,2,84.0,1,0,Valdeacederas,Tetuán
325000,Piso,exterior,3,99.0,1,0,San Pascual,Ciudad Lineal
205000,Piso,exterior,1,63.0,1,1,Ventas,Ciudad Lineal
72800,Piso,interior,2,52.0,1,0,Amposta,San Blas-Canillejas
240000,Piso,exterior,1,50.0,1,0,Quintana,Ciudad Lineal
165000,Piso,exterior,3,75.0,1,0,Puerta Bonita,Carabanchel
290000,Dúplex,exterior,2,51.0,1,0,Ventas,Ciudad Lineal
239000,Piso,interior,2,51.0,1,0,Embajadores,Centro
370000,Piso,interior,2,51.0,1,0,Ibiza,Retiro
159000,Piso,exterior,1,51.0,1,0,Vista Alegre,Carabanchel
179000,Piso,exterior,2,50.0,1,0,Simancas,San Blas-Canillejas
1400000,Piso,exterior,3,125.0,1,0,Castellana,Salamanca
225000,Piso,interior,1,50.0,1,0,Embajadores,Centro
190000,Piso,exterior,2,50.0,1,0,Simancas,San Blas-Canillejas
320000,Piso,interior,1,50.0,1,0,Cortes,Centro
240000,Piso,interior,2,50.0,1,0,Palos de Moguer,Arganzuela
400000,Piso,interior,2,52.0,1,0,Sol,Centro
199900,Piso,exterior,2,61.0,1,0,Ventas,Ciudad Lineal
4350000,Piso,exterior,4,370.0,1,0,Jerónimos,Retiro
155000,Piso,exterior,1,52.0,1,0,Casco Histórico de Vallecas,Villa de Vallecas
245000,Piso,exterior,2,52.0,1,0,La Chopera,Arganzuela
265000,Piso,interior,1,52.0,1,0,Valdefuentes,Hortaleza
58685,Piso,exterior,2,52.0,1,0,San Isidro,Carabanchel
148000,Piso,exterior,2,52.0,1,0,Buenavista,Carabanchel
148000,Piso,exterior,2,52.0,1,0,Buenavista,Carabanchel
239000,Piso,exterior,1,52.0,1,0,Embajadores,Centro
275000,Piso,exterior,1,52.0,1,0,Almenara,Tetuán
135000,Piso,exterior,2,52.0,1,0,Casco Histórico de Vicálvaro,Vicálvaro
1985000,Piso,exterior,3,160.0,1,0,Lista,Salamanca
3100000,Piso,exterior,4,250.0,1,1,El Viso,Chamartín
2950000,Piso,exterior,3,238.0,1,0,Cortes,Centro
1450000,Piso,exterior,3,117.0,1,0,Recoletos,Salamanca
1450000,Piso,exterior,3,117.0,1,0,Recoletos,Salamanca
2850000,Ático,exterior,3,230.0,1,1,Recoletos,Salamanca
2300000,Piso,exterior,1,186.0,1,0,Justicia,Centro
2250000,Piso,exterior,3,182.0,1,1,Justicia,Centro
1100000,Piso,exterior,2,89.0,1,1,Recoletos,Salamanca
222000,Piso,interior,3,75.0,1,1,Fontarrón,Moratalaz
175000,Piso,exterior,2,60.0,1,0,Zofio,Usera
430000,Piso,exterior,1,75.0,1,0,Embajadores,Centro
7900000,Piso,exterior,4,473.0,1,1,Castellana,Salamanca
435000,Piso,exterior,1,40.0,1,0,Palacio,Centro
