heading,location,content,id,area,n_bedrooms,n_bathrooms,Price
Flat for sale in calle Treviño (Madrid),"Nuevos Ministerios - Ríos Rosas, Madrid city","aProperties presents a charming refurbished flat in an excellent location. With a beautiful refurbishment, the quality of its materials in very light colours stand out, giving the flat a feeling of light and spaciousness. Its surface area, according to the land registry, is 34 m². It has a living room and integrated kitchen equipped with electrical appliances, as well as a bedroom with built-in wardrobes and a spacious bathroom. 

The flat incorporates efficient underfloor heating and split air conditioning. The flat is sold furnished.  This is a magnificent opportunity as a permanent residence or investment in a very good location.

Can you imagine living here?",VM2407030,34 m2,1,1,"€ 287,000"
New building (work) for sale in barrio de Salamanca (Madrid),"Recoletos, Madrid city","There are several luxury residential areas in the city of Madrid, but the Salamanca district stands out for its central location and distinguished historical character. The project enjoys a privileged location in this exclusive residential oasis composed of stately residential buildings. A unique opportunity for those seeking exclusivity and tradition.

The project restores the protected façade from the early 19th century and the access to the estate. The new courtyard, which is provided with abundant vegetation, is designed with an elongated proportion with its longitudinal axis in a north-south direction to promote sunlight. In the dwellings, all the bedrooms open onto the inner courtyard and the living rooms onto the main façade. The day area is separated from the night area by an elegant and sculptural piece of wood panelling that includes a hall, toilet and kitchen.

The attic floors also have a spectacular terrace. The ground and rooftop floors complete the housing development with a programme of communal uses oriented towards wellness and so that all the neighbours can enjoy access to outdoor terrace spaces and the project's two spectacular swimming pools.

Can you imagine living here?",ONM2407004,187-207 m2,,,"from € 2,917,000"
Flat for sale in calle Orfila (Madrid),"Almagro, Madrid city","aProperties presents a charming flat, perfect as an investment in the heart of the Almagro district.

It is a first floor apartment with views to the back of the building, without any building in front of it, as it faces an empty lot between the old English embassy and the mansion in C/ Fernando el Santo.

It has a bedroom with dressing room, a bathroom and a living-dining room with integrated and equipped kitchen. 

This is an excellent investment opportunity, which can give a high profitability, in one of the most sought after areas of Madrid, the Almagro neighbourhood.

Sold together with a storage room of about 4 m² on the top floor of the building which allows for more storage. 
Also available is a garage space in the building for 60.000 €.

Can you imagine living here?",VM2407031,49 m2,1,1,"€ 450,000"
Flat for sale in calle Alcalá (Madrid),"Goya, Madrid city","Fabulous flat in a classic building in Alcalá street, south facing. Refurbished and furnished. The property has lateral views to the Retiro Park and is located close to emblematic places of the city, such as Puerta de Alcalá, Plaza de Cibeles, Museo del Prado or the Royal Botanical Garden.

It has two lounge areas and an open-plan kitchen/dining room. Courtesy toilet and separate laundry area. The rest area has 3 en-suite bedrooms. The property has a porter and is sold with storage room.

The flat has been completely refurbished. It is completely brand new, fully furnished and has top of the range appliances. The bathrooms, kitchen and natural oak flooring have been supplied by the Porcelanosa group.

Can you imagine living here?",VM2407032,148 m2,3,4,"€ 2,500,000"
Flat for sale in Castellana (Madrid),"Castellana, Madrid city","In the most residential area of Castellana, in Claudio Coello next to Padilla, we can release a cheerful and cozy home. A second floor interior to a large and beautiful courtyard, distributed in two double bedrooms, one of them with en suite bathroom, a second bathroom that serves as a guest toilet, and an open kitchen and living room in well differentiated environments. Fully furnished and equipped, designed with detail and good taste. Next to the IE and the main Embassies. A great option both as an investment and as a permanent residence.

Can you imagine living here?",VM2407024,101 m2,2,2,"€ 1,359,000"
Flat for sale in calle Principe de Vergara (Madrid),"Recoletos, Madrid city","A brand new cosy flat in the heart of Recoletos. Located in a first floor interior of a building without lift, and with a parking space included in the price, its floor plan distributed in two double bedrooms and two bathrooms, one en suite, its open kitchen and its living room, make it a perfect option as a regular home or investment. A quiet property, designed to detail and well thought out, furnished and decorated by interior designers to enjoy living in the most sought after area of the community.

Can you imagine living here?",VM2407026,76 m2,2,2,"€ 829,000"
Flat for sale in calle Hartzenbusch (Madrid),"Trafalgar, Madrid city","Third floor exterior with balconies overlooking the street. Located in a beautiful and very quiet street in Trafalgar. Two double bedrooms and two complete bathrooms, one en suite, integrated kitchen and living room with a great execution. Distinct and cosy ambiences with elegant and well cared for finishes.

Can you imagine living here?",VM2407025,96 m2,2,2,"€ 820,000"
Flat for sale in calle Uruguay (Madrid),"Bernabéu - Hispanoamérica, Madrid city","In the heart of the Hispanoamerica neighbourhood we find this magnificent property of 177 m² built, totally exterior on a seventh floor.

Property to refurbish with many possibilities, totally exterior, the common rooms are south facing and all the rooms and kitchen are also exterior, ceilings of 3 m high. Currently, it has a large living room with all glass, living room that was once a terrace and could be again. Three bedrooms and two bathrooms, kitchen with laundry room and office. Two separate entrances, the main entrance and the service entrance. Storeroom of 8 m² and porter living in the property.

It has great luminosity, privileged views of Madrid and is located in a very quiet area of the neighbourhood of Hispanoamerica, but at the same time it is surrounded by parks, leisure, public transport and very good schools in the area.

Can you imagine living here?",VM2407027,177 m2,3,,"€ 1,100,000"
Flat for sale in calle Amaniel (Madrid),"Malasaña - Universidad, Madrid city","House of 50 meters very well distributed. It consists of kitchen, fully equipped, living room with two balconies overlooking the street, bedroom with dressing room and bathroom. Modern and cosy reform, air conditioning by ducts and central heating. It has two balconies to the street, ideal for living or profitability.

Can you imagine living here?",VM2407028,51 m2,1,1,"€ 390,000"
New building (work) for sale in Malasaña (Madrid),"Malasaña - Universidad, Madrid city","The building combines a classical aesthetic on the outside, respecting the historic façade, with a modern interior. The homes have terraces to take advantage of the sunlight and improve the quality of life.

Each terrace is a space designed for enjoyment and comfort, extending the elegance of your home outdoors. Surrounded by a carefully chosen selection of greenery and with cladding that harmonises with the contemporary aesthetics of the building, these terraces are the ideal place to enjoy a leisurely breakfast in the open air, an afternoon of reading in the sun or an intimate dinner under the stars.

Warm, traditional materials, such as herringbone porcelain tiles and wood panelling, are used in combination with more modern elements.
‍
The homes include aerothermal systems, top quality finishes in wood or materials that imitate it, and bathrooms equipped with designer sanitary ware and water-saving technology.

Modern kitchens equipped with state-of-the-art appliances and premium finishes.

Located in the heart of Malasaña
Santa Lucía 17 is located in the epicentre of Malasaña. This enclave is an urban treasure, where cobblestone streets and traditional architecture coexist with avant-garde boutiques and art galleries. Steps from your door, you'll discover a diverse culinary scene, from classic taverns to modern gastronomy. Malasaña is more than a place, it's a way of life, where past and present intertwine to create a vibrant and unique community in Madrid.

Can you imagine living here?",ONM2407003,56-174 m2,,,"from € 505,000"
