price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district
495000,planta 1,exterior,3,118,TRUE,TRUE,Chopera,Arganzuela
485000,planta 2,exterior,2,82,TRUE,TRUE,Palos de Moguer,Arganzuela
315000,planta 2,exterior,2,72,FALSE,FALSE,Legazpi,Arganzuela
585000,planta 4,exterior,2,174,TRUE,TRUE,Palos de Moguer,Arganzuela
255000,bajo,exterior,3,75,FALSE,FALSE,Acacias,Arganzuela
299000,planta 1,exterior,1,69,TRUE,FALSE,Chopera,Arganzuela
265000,planta 3,exterior,2,54,TRUE,FALSE,Delicias,Arganzuela
290000,planta 3,interior,4,69,TRUE,FALSE,Chopera,Arganzuela
660220,planta 2,exterior,3,129,TRUE,TRUE,Imperial,Arganzuela
525000,planta 4,exterior,4,111,TRUE,FALSE,Chopera,Arganzuela
429900,bajo,interior,3,139,FALSE,FALSE,Acacias,Arganzuela
385000,planta 6,exterior,4,100,TRUE,FALSE,Chopera,Arganzuela
299000,planta 2,exterior,3,85,TRUE,FALSE,Delicias,Arganzuela
430000,planta 3,exterior,2,92,TRUE,FALSE,Palos de Moguer,Arganzuela
350000,planta 2,exterior,2,91,TRUE,FALSE,Imperial,Arganzuela
350000,planta 2,exterior,2,91,TRUE,FALSE,Imperial,Arganzuela
479000,planta 1,exterior,4,121,TRUE,FALSE,Imperial,Arganzuela
420000,planta 4,exterior,2,105,TRUE,FALSE,Palos de Moguer,Arganzuela
239000,planta 3,interior,2,54,TRUE,FALSE,Palos de Moguer,Arganzuela
585000,planta 4,exterior,2,110,TRUE,TRUE,Palos de Moguer,Arganzuela
410000,planta 5,exterior,3,79,TRUE,FALSE,Acacias,Arganzuela
293000,planta 2,exterior,2,77,TRUE,FALSE,Palos de Moguer,Arganzuela
190000,planta 3,exterior,2,48,FALSE,FALSE,Imperial,Arganzuela
299000,planta 5,interior,2,60,TRUE,FALSE,Palos de Moguer,Arganzuela
360000,planta 5,exterior,1,62,TRUE,TRUE,Imperial,Arganzuela
335000,planta 5,exterior,1,54,TRUE,TRUE,Imperial,Arganzuela
359900,planta 8,exterior,1,62,TRUE,TRUE,Legazpi,Arganzuela
235000,planta 2,interior,1,59,TRUE,FALSE,Palos de Moguer,Arganzuela
315000,planta 2,exterior,3,72,TRUE,FALSE,Delicias,Arganzuela
530000,planta 6,exterior,2,133,TRUE,FALSE,Palos de Moguer,Arganzuela
293000,planta 2,exterior,2,77,TRUE,FALSE,Palos de Moguer,Arganzuela
310000,planta 2,exterior,3,72,TRUE,FALSE,Delicias,Arganzuela
387900,planta 2,exterior,1,64,TRUE,TRUE,Legazpi,Arganzuela
729000,planta 3,exterior,5,175,TRUE,FALSE,Imperial,Arganzuela
243000,planta 3,exterior,3,55,FALSE,FALSE,Legazpi,Arganzuela
460000,planta 4,exterior,4,125,TRUE,FALSE,Delicias,Arganzuela
458000,planta 1,exterior,2,71,TRUE,TRUE,Imperial,Arganzuela
475000,planta 1,exterior,2,95,TRUE,TRUE,Legazpi,Arganzuela
357000,planta 1,exterior,1,86,TRUE,TRUE,Legazpi,Arganzuela
550000,planta 2,interior,3,130,TRUE,FALSE,Imperial,Arganzuela
475000,planta 4,exterior,2,105,TRUE,TRUE,Legazpi,Arganzuela
293000,planta 2,interior,3,74,TRUE,FALSE,Palos de Moguer,Arganzuela
282900,planta 2,exterior,2,47,TRUE,FALSE,Acacias,Arganzuela
235000,planta 3,interior,1,36,TRUE,FALSE,Delicias,Arganzuela
385000,planta 4,interior,2,98,TRUE,FALSE,Legazpi,Arganzuela
390000,planta 1,exterior,3,95,TRUE,FALSE,Chopera,Arganzuela
575000,planta 2,interior,3,143,TRUE,TRUE,Acacias,Arganzuela
530000,planta 6,exterior,2,133,TRUE,FALSE,Palos de Moguer,Arganzuela
780000,planta 8,exterior,4,160,TRUE,FALSE,Imperial,Arganzuela
210000,planta 3,exterior,2,53,FALSE,FALSE,Legazpi,Arganzuela
