PK,BARRIO
4916066,EL VISO
167390,PALACIO
6845,CASTELLANA
6803,EL VISO
6651,PALACIO
5373,NUEVA ESPAÑA
11576332,APOSTOL SANTIAGO
94985,
10127337,EMBAJADORES
5422896,ALMAGRO
6599,VENTAS
6605,ARCOS
6602,SAN ANDRES
6603,SAN CRISTOBAL
41816,ALMAGRO
5236566,VALDEZARZA
5236471,ENTREVIAS
73983,SAN ISIDRO
87760,ALMENDRALES
73972,SAN FERMIN
73975,PINAR DEL REY
5201907,TIMON
6579,MIRASIERRA
10936383,MIRASIERRA
6714,NUMANCIA
10705142,GUINDALERA
108359,GUINDALERA
7528536,GOYA
10089864,BUENAVISTA
10692347,SAN FERMIN
12364446,VALVERDE
5756385,CASCO H.VALLECAS
6594,FONTARRON
6573,ALUCHE
6593,DELICIAS
6568,CANILLEJAS
6559,LAS AGUILAS
6600,PUEBLO NUEVO
6575,ORCASUR
106258,UNIVERSIDAD
6566,PINAR DEL REY
6565,ENTREVIAS
6569,VALVERDE
6576,PINAR DEL REY
6572,GUINDALERA
6590,EL PILAR
6577,PALOMERAS BAJAS
89255,ARCOS
6591,BUTARQUE
6592,ARGUELLES
6574,OPAÑEL
6560,ORCASITAS
6561,CANILLAS
6563,ABRANTES
6562,VALDEACEDERAS
6571,SANTA EUGENIA
6604,CASCO H.VICALVARO
6567,VILLAVERDE ALTO C.H.
6564,PUERTA BONITA
10895555,VALVERDE
6739,MIRASIERRA
6720,FONTARRON
174976,VALVERDE
25017,CANILLAS
6023063,PEÑA GRANDE
174909,VENTAS
6748,QUINTANA
23079,ABRANTES
6772498,CASTILLA
167685,MIRASIERRA
5387792,ORCASUR
23080,EL VISO
6741,VALVERDE
5388127,MARROQUINA
55806,EL VISO
5106,LAS AGUILAS
6749,VALDEMARIN
6736,ARAVACA
6740,EL GOLOSO
6742,BUENAVISTA
6738,MIRASIERRA
6750,ENTREVIAS
6747,PALOMAS
6760,VALDEACEDERAS
1085,EL SALVADOR
6755,OPAÑEL
6751,VENTAS
11382189,ESTRELLA
11382202,GUINDALERA
11654395,VINATEROS
11987201,FONTARRON
12337894,SIMANCAS
10692339,EL VISO
11643678,CASCO H.VICALVARO
11373044,SAN JUAN BAUTISTA
6234,CORTES
10936360,HISPANOAMERICA
12337845,PALOS DE LA FRONTERA
11654589,VISTA ALEGRE
11644003,PIOVERA
10752507,VILLAVERDE ALTO C.H.
10936423,OPAÑEL
10752437,CASCO H.VALLECAS
4980079,PROSPERIDAD
10107666,SIMANCAS
7527780,CASTELLANA
6460517,EL PLANTIO
11986440,CIUDAD UNIVERSITARIA
7528018,CASTILLA
11986415,VALDEFUENTES
11985632,CASCO H.VALLECAS
10936410,LAS AGUILAS
7528721,VILLAVERDE ALTO C.H.
11650318,BUENAVISTA
11650644,BELLAS VISTAS
10110079,SIMANCAS
10752445,SIMANCAS
11989194,SIMANCAS
11989221,ORCASUR
10089761,ZOFIO
5574,ENTREVIAS
11654577,SIMANCAS
