PARplazasResidente,PARplazasDisuasorias,PARnumPlantas,PARprivadoSN,PARcodEstado,PARdisuasorioSN,PARdistrito,PARbarrio
303,,3,FALSE,ABIERTO,FALSE,ARGANZUELA ,VALDEZARZA
271,,2,FALSE,ABIERTO,FALSE,ARGANZUELA ,CHOPERA
343,,4,FALSE,ABIERTO,FALSE,ARGANZUELA ,EMBAJADORES
171,,7,FALSE,CERRADO,FALSE,ARGANZUELA ,CORTES
254,,3,FALSE,ABIERTO,FALSE,ARGANZUELA ,GOYA
334,,3,FALSE,ABIERTO,FALSE,ARGANZUELA ,EL PILAR
,,,FALSE,ABIERTO,FALSE,ARGANZUELA ,ALMAGRO
433,,3,FALSE,ABIERTO,FALSE,ARGANZUELA ,ALMAGRO
167,,3,FALSE,ABIERTO,FALSE,ARGANZUELA ,CASCO H.VALLECAS
208,,3,FALSE,ABIERTO,FALSE,ARGANZUELA ,ALUCHE
282,,2,FALSE,ABIERTO,FALSE,ARGANZUELA ,FUENTE DEL BERRO
313,,3,FALSE,ABIERTO,FALSE,BARAJAS ,ENTREVIAS
280,,3,FALSE,ABIERTO,FALSE,CARABANCHEL,CANILLAS
469,,3,FALSE,ABIERTO,FALSE,CARABANCHEL ,CASTILLEJOS
1111,,3,FALSE,ABIERTO,FALSE,CARABANCHEL ,COMILLAS
339,,2,FALSE,ABIERTO,FALSE,CARABANCHEL ,VALDEZARZA
510,,3,FALSE,ABIERTO,FALSE,CARABANCHEL ,LOS JERONIMOS
313,,3,FALSE,ABIERTO,FALSE,CARABANCHEL ,MARROQUINA
508,,3,FALSE,ABIERTO,FALSE,CARABANCHEL ,VENTAS
164,,3,FALSE,ABIERTO,FALSE,CARABANCHEL ,ACACIAS
298,,2,FALSE,ABIERTO,FALSE,CARABANCHEL ,JUSTICIA
285,,2,FALSE,ABIERTO,FALSE,CARABANCHEL ,MEDIA LEGUA
214,,3,FALSE,ABIERTO,FALSE,CARABANCHEL ,PALOMERAS BAJAS
307,,2,FALSE,ABIERTO,FALSE,CARABANCHEL ,FONTARRON
275,,3,FALSE,ABIERTO,FALSE,CARABANCHEL ,MARROQUINA
395,,4,FALSE,ABIERTO,FALSE,CENTRO,PROSPERIDAD
574,,3,FALSE,ABIERTO,FALSE,CENTRO,LAS AGUILAS
445,428,,FALSE,ABIERTO,TRUE,CENTRO,PUERTA DEL ANGEL
,379,0,FALSE,ABIERTO,TRUE,CENTRO ,LAS AGUILAS
261,,3,FALSE,ABIERTO,FALSE,CENTRO ,VALDEZARZA
554,,,FALSE,ABIERTO,FALSE,CENTRO ,JUSTICIA
208,,3,FALSE,ABIERTO,FALSE,CENTRO ,GUINDALERA
161,,3,FALSE,ABIERTO,FALSE,CENTRO ,PINAR DEL REY
461,,3,FALSE,ABIERTO,FALSE,CENTRO ,GAZTAMBIDE
340,,3,FALSE,ABIERTO,FALSE,CENTRO ,LOS ANGELES
353,,3,FALSE,ABIERTO,FALSE,CENTRO ,GUINDALERA
402,,3,FALSE,ABIERTO,FALSE,CENTRO ,CUATRO CAMINOS
629,,3,FALSE,ABIERTO,FALSE,CENTRO ,VALLEHERMOSO
399,,3,FALSE,ABIERTO,FALSE,CENTRO ,GUINDALERA
317,,3,FALSE,ABIERTO,FALSE,CENTRO ,GUINDALERA
224,,3,FALSE,ABIERTO,FALSE,CENTRO ,GUINDALERA
160,,2,FALSE,ABIERTO,FALSE,CENTRO ,APOSTOL SANTIAGO
360,,3,FALSE,ABIERTO,FALSE,CENTRO ,EMBAJADORES
368,,3,FALSE,ABIERTO,FALSE,CENTRO ,CANILLAS
192,,2,FALSE,ABIERTO,FALSE,CENTRO ,ALUCHE
249,,3,FALSE,ABIERTO,FALSE,CENTRO ,VINATEROS
477,,3,FALSE,ABIERTO,FALSE,CENTRO ,VINATEROS
284,,2,FALSE,ABIERTO,FALSE,CENTRO ,ABRANTES
452,,3,FALSE,ABIERTO,FALSE,CENTRO ,EMBAJADORES
112,,2,FALSE,ABIERTO,FALSE,CENTRO ,ARAPILES
618,,3,FALSE,ABIERTO,FALSE,CENTRO ,VALDEZARZA
211,,3,FALSE,ABIERTO,FALSE,CENTRO ,ALAMEDA DE OSUNA
288,,3,FALSE,ABIERTO,FALSE,CENTRO ,VINATEROS
449,,5,FALSE,ABIERTO,FALSE,CHAMARTIN ,EMBAJADORES
303,,3,FALSE,ABIERTO,FALSE,CHAMARTIN ,CASTELLANA
297,,3,FALSE,ABIERTO,FALSE,CHAMARTIN ,SANTA EUGENIA
