PK,BARRIO
10183549,GOYA
114782,ARAVACA
4696,LAS AGUILAS
4617960,SAN ISIDRO
4624404,ALMENARA
99578,ALAMEDA DE OSUNA
10051058,JUSTICIA/ CENTRO
4695,VISTA ALEGRE
4705,CASA DE CAMPO
78960,PALOS DE MOGUER
4687,SANTA EUGENIA
4700,NUEVA ESPAÑA
6208448,LEGAZPI
4702,VALDEZARZA
4672,CONCEPCION
134059,PACIFICO
4726,PACIFICO
140197,LOS ROSALES
84661,LUCERO
4685,CIUDAD UNIVERSITARIA
4676,ENTREVIAS
6486044,JUSTICIA
10663007,VALLEHERMOSO
4728,LOS JERONIMOS
4622862,REJAS
120275,CASCO H.VICALVARO
4703,VALDEZARZA
4623547,BUENAVISTA
4623697,FUENTE DEL BERRO
124194,LOS ROSALES
4698,LOS CARMENES
51661,GUINDALERA
4680,APOSTOL SANTIAGO
4704,CASA DE CAMPO
11580683,ENSANCHE DE VALLECAS
4623700,PUEBLO NUEVO
4722,CASA DE CAMPO
11820127,PALACIO
4697,LOS JERONIMOS
4674,MEDIA LEGUA
4694,DELICIAS
104235,MIRASIERRA
4834,CASA DE CAMPO
4538574,LAS AGUILAS
4619937,PALOMAS
4681,CANILLAS
4688,AMBROZ
121729,IMPERIAL
4707,EL PILAR
4701827,CASCO H.VALLECAS
4673,PAVONES
4691,MOSCARDO
4693,ZOFIO
4690,ORCASUR
4684794,ALAMEDA DE OSUNA
4675,PALOMERAS SURESTE
4622991,ROSAS
10630252,PEÑA GRANDE
4727,ACACIAS
4719,SAN ANDRES
4718,BERRUGUETE
4701,CIUDAD JARDIN
4720,PUEBLO NUEVO
106242,SAN CRISTOBAL
4689,HELLIN
4686,SAN CRISTOBAL
4692,SAN FERMIN
4679,SAN JUAN BAUTISTA
4706,VALVERDE
28525,CASA DE CAMPO
4684,CASTILLEJOS
4677,PALOMERAS BAJAS
7411340,VALLEHERMOSO
4699,LA PAZ
49338,ENTREVIAS
4678,PALOMERAS BAJAS
4541767,AMBROZ
6210334,FUENTE DEL BERRO
4544562,LOS ROSALES
