Código barrio,Nombre barrio,Codigo distrito,Nombre distrito,Fecha datos,Índice de Vulnerabilidad Bienestar Social e Igualdad,Índice de Vulnerabilidad Bienestar Social e Igualdad - media distrito,Índice de Vulnerabilidad Medio Ambiente Urbano y Movilidad,Índice de Vulnerabilidad Medio Ambiente Urbano y Movilidad - media distrito,Índice de Vulnerabilidad Educación y Cultura,Índice de Vulnerabilidad Educación y Cultura - media distrito,Índice de Vulnerabilidad Economía y Empleo,Índice de Vulnerabilidad Economía y Empleo - media distrito,Índice de Vulnerabilidad Salud,Índice de Vulnerabilidad Salud - media distrito
11,Palacio,1,Centro,2020,9.1,9.4,7.06,11.2,5.68,6.24,6.28,7.07,8.8,9.18
12,Embajadores,1,Centro,2020,8.92,9.4,11.74,11.2,6.12,6.24,7.97,7.07,7.8,9.18
13,Cortes,1,Centro,2020,11.57,9.4,8.27,11.2,7.39,6.24,6.85,7.07,9.46,9.18
14,Justicia,1,Centro,2020,9.21,9.4,10.02,11.2,7.28,6.24,6.52,7.07,9.15,9.18
15,Universidad,1,Centro,2020,9.08,9.4,12.33,11.2,5.56,6.24,6.63,7.07,9.8,9.18
16,Sol,1,Centro,2020,11.83,9.4,22.15,11.2,7.44,6.24,7.52,7.07,15.41,9.18
21,Imperial,2,Arganzuela,2020,6.16,6.38,5.42,6.05,6.24,5.62,4.62,4.92,6.26,6.6
22,Acacias,2,Arganzuela,2020,6.12,6.38,5.34,6.05,6.21,5.62,4.56,4.92,5.94,6.6
23,Chopera,2,Arganzuela,2020,6.12,6.38,6.45,6.05,4.59,5.62,5.5,4.92,8.16,6.6
24,Legazpi,2,Arganzuela,2020,6.42,6.38,3.83,6.05,5.7,5.62,4.34,4.92,6.93,6.6
25,Delicias,2,Arganzuela,2020,6.53,6.38,5.87,6.05,6.11,5.62,4.99,4.92,5.92,6.6
26,Palos de la Frontera,2,Arganzuela,2020,6.63,6.38,9.47,6.05,4.41,5.62,5.36,4.92,6.15,6.6
27,Atocha,2,Arganzuela,2020,11.9,6.38,1.73,6.05,5.88,5.62,9.26,4.92,22.5,6.6
31,Pacífico,3,Retiro,2020,6.11,6.51,12.33,16.95,3.41,3.87,8.89,7.17,6.02,6.64
32,Adelfas,3,Retiro,2020,6.07,6.51,7.01,16.95,3.47,3.87,8.97,7.17,6.88,6.64
33,Estrella,3,Retiro,2020,5.87,6.51,5.37,16.95,5.12,3.87,8.32,7.17,6.17,6.64
34,Ibiza,3,Retiro,2020,7.94,6.51,55.41,16.95,3.22,3.87,4.9,7.17,6.17,6.64
35,Jerónimos,3,Retiro,2020,8.81,6.51,5.3,16.95,2.97,3.87,4.37,7.17,13.99,6.64
36,Niño Jesús,3,Retiro,2020,5.84,6.51,7.53,16.95,4.84,3.87,3.97,7.17,5.69,6.64
41,Recoletos,4,Salamanca,2020,8.26,7.28,19.28,11.47,4.65,5.86,4.34,4.15,7.23,6.37
42,Goya,4,Salamanca,2020,8.29,7.28,21.89,11.47,6.89,5.86,4.27,4.15,5.69,6.37
43,Fuente del Berro,4,Salamanca,2020,6.52,7.28,5.6,11.47,5.21,5.86,4.09,4.15,5.89,6.37
44,Guindalera,4,Salamanca,2020,6.67,7.28,5.22,11.47,5.05,5.86,3.83,4.15,7.29,6.37
45,Lista,4,Salamanca,2020,6.44,7.28,11.53,11.47,6.9,5.86,4.39,4.15,6,6.37
46,Castellana,4,Salamanca,2020,8.08,7.28,8.66,11.47,6.72,5.86,4.34,4.15,5.54,6.37
51,El Viso,5,Chamartín,2020,7.58,7.05,5.75,7.47,5.76,5.65,4.77,4.79,7.28,6.65
52,Prosperidad,5,Chamartín,2020,5.93,7.05,9.57,7.47,6.09,5.65,4.95,4.79,6.12,6.65
53,Ciudad Jardín,5,Chamartín,2020,5.96,7.05,9.05,7.47,4.13,5.65,5.05,4.79,6.97,6.65
54,Hispanoamérica,5,Chamartín,2020,9,7.05,6.8,7.47,5.82,5.65,4.65,4.79,6.23,6.65
55,Nueva España,5,Chamartín,2020,7.6,7.05,6.34,7.47,5.66,5.65,4.64,4.79,6.78,6.65
56,Castilla,5,Chamartín,2020,5.66,7.05,5.92,7.47,5.95,5.65,4.69,4.79,7.39,6.65
61,Bellas Vistas,6,Tetuán,2020,6.64,6.7,11.99,11.93,10.43,10.99,7.3,7.58,5.97,6.52
62,Cuatro Caminos,6,Tetuán,2020,6.72,6.7,8.8,11.93,9.79,10.99,5.82,7.58,6.31,6.52
63,Castillejos,6,Tetuán,2020,6.5,6.7,10.2,11.93,11.7,10.99,6.01,7.58,6.1,6.52
64,Almenara,6,Tetuán,2020,6.92,6.7,12.48,11.93,11.22,10.99,7.68,7.58,7.04,6.52
65,Valdeacederas,6,Tetuán,2020,6.66,6.7,5.64,11.93,12.8,10.99,11.7,7.58,7.8,6.52
66,Berruguete,6,Tetuán,2020,6.75,6.7,23.64,11.93,10.59,10.99,7.25,7.58,5.96,6.52
71,Gaztambide,7,Chamberí,2020,5.86,6.39,19.29,11.69,5.14,4.75,5.5,5.31,9.05,9.18
72,Arapiles,7,Chamberí,2020,6.03,6.39,13.18,11.69,3.29,4.75,5.43,5.31,8.86,9.18
73,Trafalgar,7,Chamberí,2020,6.4,6.39,11.09,11.69,5.15,4.75,5.48,5.31,9.6,9.18
74,Almagro,7,Chamberí,2020,8.2,6.39,8.83,11.69,4.94,4.75,5.36,5.31,9.96,9.18
75,Rios Rosas,7,Chamberí,2020,6.21,6.39,9.95,11.69,5.11,4.75,5.21,5.31,8.95,9.18
76,Vallehermoso,7,Chamberí,2020,5.88,6.39,7.11,11.69,4.9,4.75,4.81,5.31,8.74,9.18
81,El Pardo,8,Fuencarral - El Pardo,2020,7.47,5.82,5.93,5.28,6.46,5.68,10.7,7.7,12.27,7.2
82,Fuentelareina,8,Fuencarral - El Pardo,2020,5.34,5.82,5.3,5.28,6.77,5.68,10.99,7.7,7.45,7.2
83,Peñagrande,8,Fuencarral - El Pardo,2020,5.24,5.82,5.43,5.28,5.97,5.68,11.16,7.7,6.36,7.2
84,Pilar,8,Fuencarral - El Pardo,2020,4.91,5.82,5.86,5.28,6.51,5.68,7.18,7.7,7.03,7.2
85,La Paz,8,Fuencarral - El Pardo,2020,4.77,5.82,4.55,5.28,5.29,5.68,6.19,7.7,7.14,7.2
86,Valverde,8,Fuencarral - El Pardo,2020,6.52,5.82,4.64,5.28,5.62,5.68,7.37,7.7,7.7,7.2
87,Mirasierra,8,Fuencarral - El Pardo,2020,5.64,5.82,5.28,5.28,4.93,5.68,6.23,7.7,6.96,7.2
